Year,Month,Data
1975,5,3.133333333
1975,6,5.178571429
1975,7,5.655172414
1975,8,5.482758621
1975,9,10.76666667
1975,10,13.64285714
1975,11,9.8
1975,12,0.068965517
1976,1,2.24137931
1976,2,-1.636363636
1976,3,3.277777778
1976,4,2.608695652
1976,5,1.870967742
1976,6,8.37037037
1976,7,11.16129032
1976,8,6.285714286
1976,9,6.285714286
1976,10,8.206896552
1976,11,2.730769231
1976,12,2.133333333
1977,1,-0.88
1977,2,1.565217391
1977,3,-1.655172414
1977,4,-0.533333333
1977,5,0.821428571
1977,6,8.344827586
1977,7,4.677419355
1977,8,3.733333333
1977,9,9.777777778
1977,10,7.032258065
1977,11,3.724137931
1977,12,10.55
1978,1,0.80952381
1978,2,-2.157894737
1978,3,-21.2173913
1978,4,-3.555555556
1978,5,-11.19354839
1978,6,9.222222222
1978,7,10
1978,8,9.448275862
1978,9,-6.517241379
1978,10,-0.633333333
1978,11,-0.592592593
1978,12,-4.566666667
1979,1,0.636363636
1979,2,12.81818182
1979,3,-0.47826087
1979,4,-1.076923077
1979,5,5.25
1979,6,6.7
1979,7,5.533333333
1979,8,4.366666667
1979,9,-4.866666667
1979,10,-1.407407407
1979,11,19.28
1979,12,23.64
1980,1,-0.555555556
1980,2,32.36363636
1980,3,10.18518519
1980,4,9.928571429
1980,5,34.22222222
1980,6,9.310344828
1980,7,5.071428571
1980,8,-5.266666667
1980,9,-10.42857143
1980,10,2.551724138
1980,11,-27.85185185
1980,12,-16.46428571
1981,1,6.19047619
1981,2,-11.19047619
1981,3,-11.7826087
1981,4,-8.571428571
1981,5,-6.392857143
1981,6,9.315789474
1981,7,21.11111111
1981,8,3.8
1981,9,-20.7
1981,10,43.86206897
1981,11,19.08333333
1981,12,11.88235294
1982,1,11.88461538
1982,2,13.73913043
1982,3,-5.909090909
1982,4,-11.875
1982,5,2.548387097
1982,6,-10.89285714
1982,7,-5.724137931
1982,8,-8.516129032
1982,9,1.655172414
1982,10,-10.22222222
1982,11,-12.45
1982,12,10.25
1983,1,-8.125
1983,2,-6.476190476
1983,3,0.565217391
1983,4,2.208333333
1983,5,4.172413793
1983,6,20.22222222
1983,7,-4
1983,8,-15.37931034
1983,9,-6.821428571
1983,10,-14.88888889
1983,11,-10
1983,12,19.21428571
1984,1,7.458333333
1984,2,-17.41666667
1984,3,0.777777778
1984,4,5.586206897
1984,5,-2.1
1984,6,-9.518518519
1984,7,-7.612903226
1984,8,-15.51612903
1984,9,-18.56666667
1984,10,-23.125
1984,11,-9.315789474
1984,12,-3
1985,1,3.125
1985,2,1.166666667
1985,3,2.75
1985,4,-9.5
1985,5,3
1985,6,-2.133333333
1985,7,-6.857142857
1985,8,-10.46666667
1985,9,-13.48
1985,10,-8.851851852
1985,11,-6.684210526
1985,12,0.736842105
1986,1,5.315789474
1986,2,2.117647059
1986,3,5.043478261
1986,4,2.192307692
1986,5,-0.464285714
1986,6,-1.266666667
1986,7,-5.137931034
1986,8,-5.741935484
1986,9,-6.689655172
1986,10,-5.068965517
1986,11,-0.703703704
1986,12,4.19047619
1987,1,9.954545455
1987,2,9
1987,3,8.47826087
1987,4,6.714285714
1987,5,8.107142857
1987,6,4.433333333
1987,7,0.870967742
1987,8,-4.433333333
1987,9,-5.740740741
1987,10,-2.24137931
1987,11,-4.833333333
1987,12,7.666666667
1988,1,-2.538461538
1988,2,20.70833333
1988,3,10.78571429
1988,4,20.25
1988,5,6.12
1988,6,-9.64
1988,7,-16.25
1988,8,-14.32142857
1988,9,-20.16
1988,10,-18.68181818
1988,11,5.263157895
1988,12,-7.25
1989,1,-10.2173913
1989,2,6.545454545
1989,3,-9.789473684
1989,4,-17.2
1989,5,8.25
1989,6,13.54166667
1989,7,-9.8
1989,8,14.23333333
1989,9,-10.35714286
1989,10,-25.69230769
1989,11,-20.58333333
1989,12,-28.2
1990,1,-35.96153846
1990,2,-5.238095238
1990,3,-31.19047619
1990,4,4.363636364
1990,5,-19.52173913
1990,6,-14.07692308
1990,7,4.206896552
1990,8,-20.55172414
1990,9,-28.96296296
1990,10,-23.26666667
1990,11,-0.055555556
1990,12,-4.571428571
1991,1,-5.944444444
1991,2,24.75
1991,3,-47.16666667
1991,4,6.52
1991,5,-9.076923077
1991,6,26.47619048
1991,7,16.86666667
1991,8,5
1991,9,0.433333333
1991,10,-21.39285714
1991,11,-6.62962963
1991,12,3.428571429
1992,1,-0.884615385
1992,2,8.071428571
1992,3,24.05263158
1992,4,-5.142857143
1992,5,11.13333333
1992,6,2.25
1992,7,-6.107142857
1992,8,17.23333333
1992,9,7.733333333
1992,10,-4.045454545
1992,11,-3.173913043
1992,12,-3.666666667
1993,1,-9.25
1993,2,-21.73333333
1993,3,-16.43478261
1993,4,-0.535714286
1993,5,-7.4
1993,6,-7.153846154
1993,7,-1.258064516
1993,8,5.903225806
1993,9,3.344827586
1993,10,5.32
1993,11,0.25
1993,12,5.941176471
1994,1,-2.125
1994,2,-11.125
1994,3,-7.296296296
1994,4,-3.68
1994,5,2.62962963
1994,6,3.5
1994,7,4.419354839
1994,8,3.548387097
1994,9,-0.266666667
1994,10,8.689655172
1994,11,1.25
1994,12,-4.105263158
1995,1,-8.714285714
1995,2,-5.611111111
1995,3,-0.636363636
1995,4,5.357142857
1995,5,-7.115384615
1995,6,-3.416666667
1995,7,0.677419355
1995,8,1.612903226
1995,9,6.3
1995,10,1.766666667
1995,11,-4
1995,12,-1.857142857
1996,1,-7.928571429
1996,2,3.142857143
1996,3,-6.636363636
1996,4,-2.36
1996,5,1.307692308
1996,6,1.448275862
1996,7,-0.233333333
1996,8,-4.862068966
