Year,Month,MS,,,,
1957,5,262.7,,1957,5,0
1957,6,266.1,,1957,6,0
1957,7,271.1,,1957,7,0
1957,8,275.3,,1957,8,0
1957,9,279.3,,1957,9,0
1957,10,282.5,,1957,10,0
1957,11,284.4,,1957,11,0
1957,12,283.3,,1957,12,0
1958,1,281.8,,1958,1,0
1958,2,284.5,,1958,2,0
1958,3,285,,1958,3,0
1958,4,278.7,,1958,4,0
1958,5,271,,1958,5,0
1958,6,264.5,,1958,6,0
1958,7,262.3,,1958,7,0
1958,8,261.9,,1958,8,0
1958,9,260.3,,1958,9,0
1958,10,258.1,,1958,10,0
1958,11,255.9,,1958,11,0
1958,12,255.6,,1958,12,0
1959,1,252.9,,1959,1,0
1959,2,250.4,,1959,2,0
1959,3,247.1,,1959,3,0
1959,4,239.7,,1959,4,0
1959,5,233.9,,1959,5,0
1959,6,228.5,,1959,6,0
1959,7,220.6,,1959,7,0
1959,8,214.2,,1959,8,0
1959,9,207.1,,1959,9,0
1959,10,199.7,,1959,10,0
1959,11,194.2,,1959,11,0
1959,12,187.6,,1959,12,0
1960,1,182.5,,1960,1,0
1960,2,177,,1960,2,0
1960,3,172.1,,1960,3,0
1960,4,169.4,,1960,4,0
1960,5,165.7,,1960,5,0
1960,6,161.3,,1960,6,0
1960,7,153.8,,1960,7,0
1960,8,145,,1960,8,0
1960,9,138.6,,1960,9,0
1960,10,132.1,,1960,10,0
1960,11,124.5,,1960,11,0
1960,12,118.5,,1960,12,0
1961,1,113.6,,1961,1,0
1961,2,105.9,,1961,2,0
1961,3,97.5,,1961,3,0
1961,4,91.1,,1961,4,0
1961,5,85.1,,1961,5,0
1961,6,79.1,,1961,6,0
1961,7,75.3,,1961,7,0
1961,8,74.4,,1961,8,0
1961,9,74.3,,1961,9,0
1961,10,73,,1961,10,0
1961,11,71.7,,1961,11,0
1961,12,69.1,,1961,12,0
1962,1,64.2,,1962,1,0
1962,2,59.4,,1962,2,0
1962,3,56.7,,1962,3,0
1962,4,56.1,,1962,4,0
1962,5,55.9,,1962,5,0
1962,6,54.6,,1962,6,0
1962,7,52.5,,1962,7,0
1962,8,49.8,,1962,8,0
1962,9,46.7,,1962,9,0
1962,10,44,,1962,10,0
1962,11,42.9,,1962,11,0
1962,12,42.6,,1962,12,0
1963,1,42.1,,1963,1,0
1963,2,42.6,,1963,2,0
1963,3,42.6,,1963,3,0
1963,4,41.6,,1963,4,0
1963,5,41.1,,1963,5,0
1963,6,40.4,,1963,6,0
1963,7,39.7,,1963,7,0
1963,8,39,,1963,8,0
1963,9,38.6,,1963,9,0
1963,10,37.4,,1963,10,0
1963,11,34.2,,1963,11,0
1963,12,30.7,,1963,12,0
1964,1,28.1,,1964,1,0
1964,2,25.7,,1964,2,0
1964,3,22.3,,1964,3,0
1964,4,18.6,,1964,4,0
1964,5,16,,1964,5,0
1964,6,15,,1964,6,0
1964,7,15.2,,1964,7,0
1964,8,15.1,,1964,8,171.744
1964,9,14.6,,1964,9,171.639
1964,10,14.3,,1964,10,170.933
1964,11,15,,1964,11,169.679
1964,12,16.2,,1964,12,170.803
1965,1,17.2,,1965,1,170.349
1965,2,17.7,,1965,2,170.144
1965,3,18.4,,1965,3,169.204
1965,4,19.9,,1965,4,169.403
1965,5,21.2,,1965,5,170.343
1965,6,21.8,,1965,6,168.479
1965,7,22.6,,1965,7,168.458
1965,8,23.8,,1965,8,168.388
1965,9,25.2,,1965,9,168.51
1965,10,28.4,,1965,10,168.482
1965,11,32.1,,1965,11,169.147
1965,12,35.2,,1965,12,168.268
1966,1,39.7,,1966,1,171.411
1966,2,44.8,,1966,2,172.24
1966,3,49.2,,1966,3,172.536
1966,4,53.3,,1966,4,172.485
1966,5,57.9,,1966,5,173.47
1966,6,63.4,,1966,6,169.837
1966,7,71.4,,1966,7,169.546
1966,8,80.3,,1966,8,169.634
1966,9,89.5,,1966,9,162.091
1966,10,95.8,,1966,10,165.478
1966,11,99.4,,1966,11,165.768
1966,12,103,,1966,12,163.575
1967,1,106.2,,1967,1,161.277
1967,2,111.6,,1967,2,159.96
1967,3,116.5,,1967,3,162.461
1967,4,119.8,,1967,4,163.649
1967,5,123.9,,1967,5,161.703
1967,6,129.4,,1967,6,160.585
1967,7,133.3,,1967,7,162.858
1967,8,135,,1967,8,161.652
1967,9,134.9,,1967,9,161.11
1967,10,134.5,,1967,10,161.275
1967,11,137.6,,1967,11,158.737
1967,12,142.5,,1967,12,158.033
1968,1,145.3,,1968,1,158.239
1968,2,145.7,,1968,2,155.88
1968,3,148.2,,1968,3,158.072
1968,4,151.8,,1968,4,158.916
1968,5,152.4,,1968,5,157.496
1968,6,150.9,,1968,6,155.372
1968,7,148.9,,1968,7,156.361
1968,8,148.4,,1968,8,156.997
1968,9,151.5,,1968,9,155.574
1968,10,155.5,,1968,10,152.503
1968,11,156.6,,1968,11,147.267
1968,12,156,,1968,12,148.398
1969,1,155.7,,1969,1,152.619
1969,2,155.1,,1969,2,155.805
1969,3,152.9,,1969,3,154.509
1969,4,150.7,,1969,4,154.242
1969,5,150.4,,1969,5,150.47
1969,6,150.1,,1969,6,148.971
1969,7,149.9,,1969,7,151.761
1969,8,150.7,,1969,8,154.392
1969,9,149.2,,1969,9,155.294
1969,10,147.4,,1969,10,155.029
1969,11,148,,1969,11,154.812
