Year,Month,KERG
1957,5,0
1957,6,0
1957,7,0
1957,8,0
1957,9,0
1957,10,0
1957,11,0
1957,12,0
1958,1,0
1958,2,0
1958,3,0
1958,4,0
1958,5,0
1958,6,0
1958,7,0
1958,8,0
1958,9,0
1958,10,0
1958,11,0
1958,12,0
1959,1,0
1959,2,0
1959,3,0
1959,4,0
1959,5,0
1959,6,0
1959,7,0
1959,8,0
1959,9,0
1959,10,0
1959,11,0
1959,12,0
1960,1,0
1960,2,0
1960,3,0
1960,4,0
1960,5,0
1960,6,0
1960,7,0
1960,8,0
1960,9,0
1960,10,0
1960,11,0
1960,12,0
1961,1,0
1961,2,0
1961,3,0
1961,4,0
1961,5,0
1961,6,0
1961,7,0
1961,8,0
1961,9,0
1961,10,0
1961,11,0
1961,12,0
1962,1,0
1962,2,0
1962,3,0
1962,4,0
1962,5,0
1962,6,0
1962,7,0
1962,8,0
1962,9,0
1962,10,0
1962,11,0
1962,12,0
1963,1,0
1963,2,0
1963,3,0
1963,4,0
1963,5,0
1963,6,0
1963,7,0
1963,8,0
1963,9,0
1963,10,0
1963,11,0
1963,12,0
1964,1,0
1964,2,216.096
1964,3,217.729
1964,4,218.701
1964,5,219.71
1964,6,219.422
1964,7,219.535
1964,8,219.692
1964,9,221.91
1964,10,222.054
1964,11,221.922
1964,12,224.153
1965,1,224.4
1965,2,224.57
1965,3,225.8
1965,4,227.532
1965,5,227.558
1965,6,225.155
1965,7,224.109
1965,8,223.828
1965,9,224.33
1965,10,224.947
1965,11,226.229
1965,12,226.511
1966,1,224.083
1966,2,223.784
1966,3,221.843
1966,4,220.8
1966,5,222.506
1966,6,219.5
1966,7,217.904
1966,8,217.252
1966,9,210.043
1966,10,214.657
1966,11,216.489
1966,12,214.397
1967,1,211.409
1967,2,210.448
1967,3,213.007
1967,4,212.851
1967,5,210.928
1967,6,209.745
1967,7,211.732
1967,8,210.381
1967,9,209.864
1967,10,210.762
1967,11,208.05
1967,12,207.748
1968,1,208.578
1968,2,207.476
1968,3,207.027
1968,4,208.189
1968,5,207.174
1968,6,204.055
1968,7,204.325
1968,8,205.64
1968,9,202.627
1968,10,199.891
1968,11,194.029
1968,12,196.061
1969,1,201.733
1969,2,201.752
1969,3,200.953
1969,4,200.426
1969,5,195.088
1969,6,193.057
1969,7,195.55
1969,8,198.899
1969,9,200.837
1969,10,201.194
1969,11,201.6
1969,12,201.215
1970,1,201.102
1970,2,203.367
1970,3,202.504
1970,4,199.865
1970,5,200.362
1970,6,196.404
1970,7,196.814
1970,8,199.943
1970,9,203.31
1970,10,204.103
1970,11,200.924
1970,12,206.098
1971,1,206.032
1971,2,209.331
1971,3,210.008
1971,4,210.538
1971,5,212.05
1971,6,216.267
1971,7,216.797
1971,8,218.346
1971,9,217.98
1971,10,219.476
1971,11,219.01
1971,12,218.291
1972,1,217.084
1972,2,217.499
1972,3,220.269
1972,4,222.139
1972,5,220.702
1972,6,216.978
1972,7,220.533
1972,8,210.835
1972,9,219.325
1972,10,220.136
1972,11,218.918
1972,12,220.024
1973,1,219.259
1973,2,218.907
1973,3,217.772
1973,4,213.216
1973,5,210.829
1973,6,215.949
1973,7,218.18
1973,8,219.325
1973,9,221.597
1973,10,221.169
1973,11,221.786
1973,12,221.742
1974,1,221.724
1974,2,222.672
1974,3,220.66
1974,4,219.856
1974,5,216.486
1974,6,214.427
1974,7,211.301
1974,8,214.521
1974,9,211.892
1974,10,211.95
1974,11,213.639
1974,12,217.121
1975,1,217.588
1975,2,219.795
1975,3,220.059
1975,4,221.371
1975,5,222.22
1975,6,223.051
1975,7,222.429
1975,8,220.553
1975,9,220.952
1975,10,220.582
1975,11,218.38
1975,12,219.985
1976,1,220.154
1976,2,220.469
1976,3,220.225
1976,4,218.843
1976,5,220.557
1976,6,221.772
1976,7,222.661
1976,8,223.07
1976,9,222.673
1976,10,222.662
1976,11,222.812
1976,12,222.577
1977,1,222.196
1977,2,222.49
1977,3,222.18
1977,4,222.256
1977,5,222.396
1977,6,221.238
1977,7,218.563
1977,8,219.225
1977,9,218.823
1977,10,221.009
1977,11,222.663
1977,12,222.042
1978,1,217.85
1978,2,217.144
1978,3,216.022
1978,4,212.211
1978,5,208.105
1978,6,211.555
1978,7,212.397
1978,8,217.342
1978,9,217.336
1978,10,213.007
1978,11,214.727
1978,12,214.991
1979,1,212.268
1979,2,211.015
1979,3,209.619
1979,4,207.487
1979,5,208.656
1979,6,204.366
1979,7,205.049
1979,8,200.575
1979,9,201.513
1979,10,204.634
1979,11,204.142
1979,12,207.791
1980,1,206.077
1980,2,205.403
1980,3,208.201
1980,4,204.698
1980,5,205.425
1980,6,199.778
1980,7,199.543
1980,8,200.597
1980,9,199.954
1980,10,196.306
1980,11,192.412
1980,12,192.777
1981,1,198.458
1981,2,195.521
1981,3,194.404
1981,4,192.37
1981,5,190.547
1981,6,196.473
1981,7,197.723
1981,8,197.661
1981,9,199.191
1981,10,192.845
1981,11,194.804
1981,12,199.372
1982,1,201.915
1982,2,195.005
1982,3,201.506
1982,4,202.968
1982,5,205.33
1982,6,195.572
1982,7,187.022
1982,8,187.528
1982,9,182.475
1982,10,187.125
1982,11,188.996
1982,12,185.365
1983,1,190.671
1983,2,195.34
1983,3,199.01
1983,4,199.548
1983,5,193.844
1983,6,197.733
1983,7,202.255
1983,8,201.959
1983,9,203.74
1983,10,204.234
1983,11,205.12
1983,12,205.048
1984,1,206.633
1984,2,205.393
1984,3,202.481
1984,4,200.962
1984,5,196.71
1984,6,200.167
1984,7,202.215
1984,8,204.757
1984,9,205.888
1984,10,205.333
1984,11,204.464
1984,12,205.691
1985,1,206.568
1985,2,210.122
1985,3,210.866
1985,4,212.556
1985,5,213.79
1985,6,215.71
1985,7,216.005
1985,8,215.957
1985,9,218.581
1985,10,218.437
1985,11,220.11
1985,12,218.962
1986,1,218.981
1986,2,213.502
1986,3,217.749
1986,4,222.014
1986,5,222.841
1986,6,224.476
