Year,Month,HRMS
1957,5,119.549
1957,6,118.011
1957,7,117.219
1957,8,119.339
1957,9,117.664
1957,10,117.061
1957,11,113.807
1957,12,112.507
1958,1,111.657
1958,2,113.746
1958,3,111.707
1958,4,112.297
1958,5,114.194
1958,6,0
1958,7,0
1958,8,114.953
1958,9,114.815
1958,10,114.56
1958,11,115.209
1958,12,114.225
1959,1,115.01
1959,2,113.594
1959,3,115.645
1959,4,117.132
1959,5,113.871
1959,6,114.274
1959,7,109.562
1959,8,110.34
1959,9,110.923
1959,10,113.695
1959,11,113.769
1959,12,113.207
1960,1,112.387
1960,2,112.838
1960,3,114.069
1960,4,111.775
1960,5,110.686
1960,6,113.353
1960,7,112.754
1960,8,114.454
1960,9,116.01
1960,10,117.428
1960,11,115.096
1960,12,117.244
1961,1,118.062
1961,2,118.659
1961,3,119.01
1961,4,119.029
1961,5,119.517
1961,6,119.779
1961,7,116.593
1961,8,119.164
1961,9,119.665
1961,10,120.639
1961,11,122.691
1961,12,121.922
1962,1,122.799
1962,2,121.585
1962,3,122.016
1962,4,120.91
1962,5,121.574
1962,6,121.204
1962,7,120.62
1962,8,120.848
1962,9,121.087
1962,10,121.109
1962,11,122.006
1962,12,121.669
1963,1,123.055
1963,2,0
1963,3,124.03
1963,4,124.204
1963,5,122.229
1963,6,123.027
1963,7,122.874
1963,8,122.651
1963,9,121.673
1963,10,122.729
1963,11,123.721
1963,12,124.408
1964,1,125.279
1964,2,124.779
1964,3,124.142
1964,4,123.587
1964,5,124.103
1964,6,124.456
1964,7,0
1964,8,0
1964,9,123.783
1964,10,124.146
1964,11,124.022
1964,12,125.577
1965,1,125.638
1965,2,125.687
1965,3,126.235
1965,4,126.941
1965,5,126.836
1965,6,125.353
1965,7,124.91
1965,8,124.703
1965,9,125.036
1965,10,125.417
1965,11,125.979
1965,12,126.432
1966,1,125.769
1966,2,125.626
1966,3,124.882
1966,4,124.212
1966,5,124.887
1966,6,123.398
1966,7,122.751
1966,8,122.928
1966,9,119.573
1966,10,121.466
1966,11,122.464
1966,12,121.704
1967,1,120.906
1967,2,120.586
1967,3,121.192
1967,4,120.619
1967,5,119.619
1967,6,118.764
1967,7,119.564
1967,8,118.221
1967,9,118.727
1967,10,118.819
1967,11,117.963
1967,12,117.886
1968,1,118.414
1968,2,118.223
1968,3,117.828
1968,4,118.502
1968,5,117.41
1968,6,116.255
