Year,Month,OULU
1975,5,107.315
1975,6,107.701
1975,7,107.452
1975,8,106.755
1975,9,107.117
1975,10,107.011
1975,11,105.934
1975,12,107.151
1976,1,106.953
1976,2,106.931
1976,3,106.976
1976,4,106.202
1976,5,106.885
1976,6,107.367
1976,7,107.812
1976,8,107.942
1976,9,108.141
1976,10,108.002
1976,11,108.217
1976,12,107.823
1977,1,107.242
1977,2,107.332
1977,3,107.569
1977,4,107.264
1977,5,107.28
1977,6,107.201
1977,7,105.723
1977,8,105.955
1977,9,106.137
1977,10,106.998
1977,11,108.045
1977,12,107.546
1978,1,105.717
1978,2,105.196
1978,3,104.971
1978,4,103.087
1978,5,100.875
1978,6,102.538
1978,7,102.665
1978,8,105.161
1978,9,105.298
1978,10,103.691
1978,11,104.376
1978,12,104.501
1979,1,102.993
1979,2,102.543
1979,3,101.293
1979,4,99.222
1979,5,99.958
1979,6,97.625
1979,7,97.728
1979,8,95.439
1979,9,96.339
1979,10,98.049
1979,11,98.16
1979,12,100.004
1980,1,99.564
1980,2,98.892
1980,3,100.254
1980,4,98.541
1980,5,98.59
1980,6,95.733
1980,7,95.741
1980,8,96.067
1980,9,96.005
1980,10,94.192
1980,11,92.628
1980,12,92.484
1981,1,95.544
1981,2,94.102
1981,3,93.644
1981,4,92.666
1981,5,91.476
1981,6,94.1
1981,7,94.411
1981,8,94.519
1981,9,95.888
1981,10,92.87
1981,11,93.273
1981,12,95.176
1982,1,97.17
1982,2,93.823
1982,3,96.925
1982,4,97.684
1982,5,98.612
1982,6,93.819
1982,7,90.255
1982,8,89.788
1982,9,87.646
1982,10,90.008
1982,11,91.053
1982,12,89.444
1983,1,91.882
1983,2,94.081
1983,3,96.039
1983,4,96.148
1983,5,93.365
1983,6,95.128
1983,7,96.98
1983,8,97.055
1983,9,97.739
1983,10,98.236
1983,11,98.724
1983,12,98.753
1984,1,99.624
1984,2,99.219
1984,3,97.756
1984,4,96.709
1984,5,94.543
1984,6,96.327
1984,7,96.888
1984,8,98.247
1984,9,98.676
1984,10,98.676
1984,11,98.368
1984,12,98.805
1985,1,99.092
1985,2,100.583
1985,3,100.872
1985,4,101.301
1985,5,101.674
1985,6,102.857
1985,7,102.456
1985,8,102.486
1985,9,103.83
1985,10,104.521
1985,11,105.674
1985,12,104.919
1986,1,104.613
1986,2,102.674
1986,3,104.354
1986,4,106.493
1986,5,106.807
1986,6,106.966
1986,7,107.074
1986,8,107.205
1986,9,107.518
1986,10,108.063
1986,11,106.527
1986,12,108.297
1987,1,109.692
1987,2,110.051
1987,3,110.202
1987,4,109.861
1987,5,109.159
1987,6,107.345
1987,7,106.555
1987,8,105.625
1987,9,104.789
1987,10,104.855
1987,11,104.088
1987,12,104.237
1988,1,101.359
1988,2,102.395
1988,3,102.803
1988,4,102.282
1988,5,102.539
1988,6,102.125
1988,7,100.297
1988,8,100.354
1988,9,100.265
1988,10,99.874
1988,11,99.49
1988,12,96.868
1989,1,95.613
1989,2,95.3
1989,3,90.831
1989,4,91.749
1989,5,90.041
1989,6,90.751
1989,7,93.591
1989,8,92.299
1989,9,91.179
1989,10,89.251
1989,11,87.102
1989,12,88.61
1990,1,90.329
1990,2,90.699
1990,3,89.551
1990,4,87.777
1990,5,87.443
1990,6,87.265
1990,7,89.687
1990,8,89.211
1990,9,90.895
1990,10,92.517
1990,11,93.834
1990,12,94.08
1991,1,96.244
1991,2,96.82
1991,3,90.356
1991,4,91.161
1991,5,91.687
1991,6,81.317
1991,7,82.008
1991,8,87.129
1991,9,91.218
1991,10,92.245
1991,11,92.533
1991,12,94.145
1992,1,93.875
1992,2,93.188
1992,3,95.408
1992,4,98.25
1992,5,97.444
1992,6,99.734
1992,7,101.007
1992,8,100.486
1992,9,99.92
1992,10,101.581
1992,11,100.952
1992,12,102.493
1993,1,102.102
1993,2,102.171
1993,3,100.816
1993,4,102.403
1993,5,103.017
1993,6,103.554
1993,7,103.746
1993,8,103.881
1993,9,104.562
1993,10,104.61
1993,11,105.036
1993,12,104.816
1994,1,104.997
1994,2,103.264
1994,3,103.36
1994,4,103.033
1994,5,104.137
1994,6,104.245
1994,7,104.789
1994,8,105.658
1994,9,106.167
1994,10,105.601
1994,11,105.479
1994,12,105.255
1995,1,106.05
1995,2,106.363
1995,3,105.835
1995,4,106.27
1995,5,106.589
1995,6,106.64
1995,7,106.715
1995,8,106.86
1995,9,106.644
1995,10,106.187
1995,11,106.3
1995,12,107.09
1996,1,107.211
1996,2,107.621
1996,3,108.528
1996,4,108.893
1996,5,108.895
1996,6,108.986
1996,7,109.032
1996,8,108.652
1996,9,108.568
1996,10,108.071
1996,11,107.951
1996,12,108.142
1997,1,108.883
1997,2,109.198
1997,3,109.315
1997,4,109.049
1997,5,109.309
1997,6,109.162
1997,7,109.117
1997,8,109.66
1997,9,109.576
1997,10,108.973
1997,11,108.153
1997,12,108.64
1998,1,108.772
1998,2,108.949
1998,3,109.055
1998,4,106.499
1998,5,104.672
1998,6,105.134
1998,7,106.371
1998,8,104.999
1998,9,106.336
1998,10,107.23
1998,11,106.427
1998,12,105.629
1999,1,104.162
1999,2,104.143
1999,3,104.398
1999,4,105.229
1999,5,104.863
1999,6,105.695
1999,7,106.439
1999,8,104.057
1999,9,102.013
1999,10,101.06
1999,11,100.666
1999,12,99.182
2000,1,100.23
2000,2,99.361
2000,3,98.009
2000,4,98.347
2000,5,96.331
2000,6,94.516
2000,7,92.823
2000,8,94.247
2000,9,95.297
2000,10,97.217
2000,11,94.907
2000,12,95.713
2001,1,96.955
2001,2,99.328
2001,3,100.41
2001,4,95.609
2001,5,98.086
2001,6,98.818
2001,7,99.323
2001,8,97.621
2001,9,97.62
2001,10,96.189
2001,11,97.58
2001,12,98.454
2002,1,95.592
2002,2,98.508
2002,3,97.426
2002,4,97.48
2002,5,97.652
2002,6,98.483
2002,7,96.816
2002,8,94.742
2002,9,96.341
2002,10,97.095
2002,11,95.478
2002,12,95.941
2003,1,96.833
2003,2,96.8
2003,3,97.414
2003,4,97.03
2003,5,96.208
2003,6,94.24
2003,7,95.839
2003,8,96.66
2003,9,97.499
2003,10,96.036
2003,11,90.589
2003,12,96.677
2004,1,95.922
2004,2,98.714
2004,3,100.713
2004,4,101.765
2004,5,102.769
2004,6,102.725
2004,7,101.288
2004,8,101.903
2004,9,102.559
2004,10,104.94
2004,11,102.26
2004,12,103.033
2005,1,99.319
2005,2,102.241
2005,3,102.986
2005,4,103.887
2005,5,101.537
2005,6,103.453
2005,7,102.774
2005,8,101.906
2005,9,99.09
2005,10,103.887
2005,11,105.116
2005,12,105.084
2006,1,105.503
2006,2,106.746
2006,3,107.981
2006,4,108.132
2006,5,108.592
2006,6,108.536
2006,7,108.243
2006,8,108.321
2006,9,108.244
2006,10,109.113
2006,11,108.811
2006,12,107.426
2007,1,109.637
2007,2,109.186
2007,3,109.816
2007,4,110.849
2007,5,110.852
2007,6,110.918
2007,7,110.758
2007,8,110.631
2007,9,110.87
2007,10,110.944
2007,11,110.793
2007,12,111.189
2008,1,110.767
2008,2,110.498
2008,3,110.515
2008,4,110.668
2008,5,110.521
2008,6,110.597
2008,7,110.864
2008,8,110.935
2008,9,111.322
2008,10,111.647
2008,11,112.075
2008,12,112.048
2009,1,112.306
2009,2,112.282
2009,3,113
2009,4,113.652
2009,5,113.774
2009,6,113.572
2009,7,113.422
2009,8,113.399
2009,9,113.65
2009,10,113.975
2009,11,113.906
2009,12,114.065
2010,1,113.515
2010,2,111.959
2010,3,110.928
2010,4,110.008
2010,5,110.498
2010,6,110.168
2010,7,109.998
2010,8,109.635
2010,9,109.634
2010,10,110.068
2010,11,109.585
2010,12,108.897
2011,1,109.301
2011,2,108.827
2011,3,108.472
2011,4,106.409
2011,5,107.649
2011,6,104.878
2011,7,105.79
2011,8,106.051
2011,9,105.929
2011,10,105.349
2011,11,106.64
2011,12,108.103
2012,1,106.577
2012,2,105.363
2012,3,102.701
