Data,AATA
01/01/2019,3788.109
01/02/2019,3809.837
01/03/2019,3809.818
01/04/2019,3804.349
01/05/2019,3777.777
01/06/2019,3708.005
01/07/2019,3705.722
01/08/2019,3706.471
01/09/2019,3729.6
01/10/2019,3747.069
01/11/2019,3758.889
01/12/2019,3758.618
01/01/2020,3771.016
01/02/2020,3855.99
01/03/2020,3820.802
01/04/2020,3852.655
01/05/2020,3792.922
01/06/2020,3790.717
01/07/2020,3781.286
01/08/2020,3784.49
01/09/2020,3805.321
01/10/2020,3828.628
01/11/2020,3822.105
01/12/2020,3820.833
01/01/2021,3817.332
01/02/2021,3801.094
01/03/2021,3809.442
01/04/2021,3815.123
01/05/2021,3567.391
01/06/2021,3080.845
01/07/2021,3082.702
01/08/2021,3087.023
01/09/2021,3098.259
01/10/2021,4.332
01/11/2021,6.331
01/06/2022,31.105
01/07/2022,8.086
