Data,AATB
01/01/1973,1427.567
01/08/1973,1413.442
01/09/1973,1424.82
01/10/1973,1428.425
01/01/1974,1431.7
01/02/1974,1437.796
01/03/1974,1431.335
01/04/1974,1422.292
01/05/1974,1403.133
01/06/1974,1386.901
01/07/1974,1380.108
01/08/1974,1396.591
01/09/1974,1386.48
01/10/1974,1397.651
01/11/1974,1399.336
01/12/1974,1416.96
01/01/1975,1416.129
01/02/1975,1427.076
01/03/1975,1429.069
01/04/1975,1433.062
01/05/1975,1424.321
01/06/1975,1432.608
01/07/1975,1431.857
01/08/1975,1423.08
01/09/1975,1425.067
01/10/1975,1426.224
01/11/1975,1420.293
01/12/1975,1429.575
01/01/1976,1430.222
01/02/1976,1430.561
01/03/1976,1430.477
01/04/1976,1421.96
01/05/1976,1428.187
01/06/1976,1426.263
01/07/1976,1424.912
01/08/1976,1425.89
01/09/1976,1428.444
01/10/1976,1429.467
01/11/1976,1432.315
01/12/1976,1428.687
01/01/1977,1427.837
01/02/1977,1429.22
01/03/1977,1430.379
01/04/1977,1433.261
01/05/1977,1427.079
01/06/1977,1417.718
01/07/1977,1410.355
01/08/1977,1413.597
01/09/1977,1419.811
01/10/1977,1425.546
01/11/1977,1425.728
01/12/1977,1431.529
01/01/1978,1416.563
01/02/1978,1416.346
01/03/1978,1415.521
01/04/1978,1390.739
01/05/1978,1367.245
01/06/1978,1387.231
01/07/1978,1393.843
01/08/1978,1410.582
01/09/1978,1414.712
01/10/1978,1402.072
01/11/1978,1410.799
01/12/1978,1401.737
01/01/1979,1398.108
01/02/1979,1389.031
01/03/1979,1383.872
01/04/1979,1354.946
01/05/1979,1364.563
01/06/1979,1344.6
01/07/1979,1350.397
01/08/1979,1329.45
01/09/1979,1343.038
01/10/1979,1359.113
01/11/1979,1365.557
01/12/1979,1381.427
01/01/1980,1380.713
01/02/1980,1375.112
01/03/1980,1387.77
01/04/1980,1366.507
01/05/1980,1366.448
01/06/1980,1345.097
01/07/1980,1348.569
01/08/1980,1354.416
01/09/1980,1351.197
01/10/1980,1336.783
01/11/1980,1319.902
01/12/1980,1328.667
01/01/1981,1354.187
01/02/1981,1335.366
01/03/1981,1326.208
01/04/1981,1316.036
01/05/1981,1301.067
01/06/1981,1326.429
01/07/1981,1332.824
01/08/1981,1336.648
01/09/1981,1341.49
01/10/1981,1309.538
01/11/1981,1321.121
01/12/1981,1344.332
01/01/1982,1353.125
01/02/1982,1331.389
01/03/1982,1352.579
01/04/1982,1351.048
01/05/1982,1359.071
01/06/1982,1309.658
01/07/1982,1270.619
01/08/1982,1273.056
01/09/1982,1251.281
01/10/1982,1282.42
01/11/1982,1299.474
01/12/1982,1284.264
01/01/1983,1323.457
01/02/1983,1337.21
01/03/1983,1356.532
01/04/1983,1354.771
01/05/1983,1316.144
01/06/1983,1337.052
01/07/1983,1354.348
01/08/1983,1350.85
01/09/1983,1357.303
01/10/1983,1361.284
01/11/1983,1364.485
01/12/1983,1365.535
01/01/1984,1384.832
01/02/1984,1378.525
01/03/1984,1363.015
01/04/1984,1350.972
01/05/1984,1324.803
01/06/1984,1347.672
01/07/1984,1347.247
01/08/1984,1363.401
01/09/1984,1364.725
01/10/1984,1362.68
01/11/1984,1361.899
01/12/1984,1370.424
01/01/1985,1374.843
01/02/1985,1391.138
01/03/1985,1394.528
01/04/1985,1403.44
01/05/1985,1403.21
01/06/1985,1412.88
01/07/1985,1409.741
01/08/1985,1409.782
01/09/1985,1420.312
01/10/1985,1420.834
01/11/1985,1427.765
01/12/1985,1422.884
01/01/1986,1428.36
01/02/1986,1408.8
01/03/1986,1419.685
01/04/1986,1440.557
01/05/1986,1443.787
01/06/1986,1443.557
01/07/1986,1440.125
01/08/1986,1439.942
01/09/1986,1444.539
01/10/1986,1452.75
01/11/1986,1439.4
01/12/1986,1448.226
01/01/1987,1463.456
01/02/1987,1471.382
01/03/1987,1473.039
01/04/1987,1464.611
01/05/1987,1458.66
01/06/1987,1439.141
01/07/1987,1438.17
01/08/1987,1434.593
01/09/1987,1416.04
01/10/1987,1419.82
01/11/1987,1414.116
01/12/1987,1413.036
01/01/1988,1390.828
01/02/1988,1401.663
01/03/1988,1403.435
01/04/1988,1400.823
01/05/1988,1397.135
01/06/1988,1389.568
01/07/1988,1374.191
01/08/1988,1370.632
01/09/1988,1379.268
01/10/1988,1369.738
01/11/1988,1373.337
01/12/1988,1357.949
01/01/1989,1340.541
01/02/1989,1344.792
01/03/1989,1295.665
01/04/1989,1305.019
01/05/1989,1279.449
01/06/1989,1292.235
01/07/1989,1318.115
01/08/1989,1302.197
01/09/1989,1283.735
01/10/1989,1264.842
01/11/1989,1259.585
01/12/1989,1277.884
01/01/1990,1294.201
01/02/1990,1303.53
01/03/1990,1284.861
01/04/1990,1266.046
01/05/1990,1258.886
01/06/1990,1266.306
01/07/1990,1297.591
01/08/1990,1288.979
01/09/1990,1302.976
01/10/1990,1322.126
01/11/1990,1341.38
01/12/1990,1342.022
01/01/1991,1362.621
01/02/1991,1353.571
01/03/1991,1271.267
01/04/1991,1282.477
01/05/1991,1291.756
01/06/1991,1169.106
01/07/1991,1180.78
01/08/1991,1256.092
01/09/1991,1291.557
01/10/1991,1296.361
01/11/1991,1297.58
01/12/1991,1316.159
01/01/1992,1321.232
01/02/1992,1307.246
01/03/1992,1328.547
01/04/1992,1353.198
01/05/1992,1346.148
01/06/1992,1366.721
01/07/1992,1373.167
01/08/1992,1374.185
01/09/1992,1372.262
01/10/1992,1383.985
01/11/1992,1380.614
01/12/1992,1391.621
01/01/1993,1389.83
01/02/1993,1390.576
01/03/1993,1389.212
01/04/1993,1391.184
01/05/1993,1392.417
01/06/1993,1397.759
01/07/1993,1396.46
01/08/1993,1395.377
01/09/1993,1407.277
01/10/1993,1398.482
01/11/1993,1410.501
01/12/1993,1408.065
01/01/1994,1404.416
01/02/1994,1394.4
01/03/1994,1394.101
01/04/1994,1392.32
01/05/1994,1399.396
01/06/1994,1402.012
01/07/1994,1401.592
01/08/1994,1408.552
01/09/1994,1410.166
01/10/1994,1414.043
01/11/1994,1412.638
01/12/1994,1414.568
01/01/1995,1417.894
01/02/1995,1416.202
01/03/1995,1410.567
01/04/1995,1417.407
01/05/1995,1419.431
01/06/1995,1413.895
01/07/1995,1407.206
01/08/1995,1414.235
01/09/1995,1416.399
01/10/1995,1422.379
01/08/1996,1418.899
01/09/1996,1424.118
01/10/1996,1418.434
01/11/1996,1419.355
01/12/1996,1425.092
01/01/1997,1429.354
01/02/1997,1436.973
01/03/1997,1430.854
01/04/1997,1432.532
01/06/1997,1426.86
01/08/1997,1431.336
01/09/1997,1433.488
01/10/1997,1426.181
01/11/1997,1417.042
01/12/1997,1424.11
01/01/1998,1427.571
01/02/1998,1428.832
01/03/1998,1436.818
01/04/1998,1412.467
01/05/1998,1398.45
01/06/1998,1402.189
01/07/1998,1411.157
01/08/1998,1401.33
01/09/1998,1405.661
01/10/1998,1415.553
01/11/1998,1419.412
01/12/1998,1402.603
01/01/1999,1387.925
01/02/1999,1402.412
01/03/1999,1395.616
01/04/1999,1398.497
01/05/1999,1390.274
01/06/1999,1408.415
01/07/1999,1414.671
01/08/1999,1387.568
01/09/1999,1373.384
01/10/1999,1367.748
01/11/1999,1366.212
01/12/1999,1357.245
01/01/2000,1363.812
01/02/2000,1359.827
01/03/2000,1341.464
01/04/2000,1348.276
01/05/2000,1330.873
01/06/2000,1308.675
01/07/2000,1295.571
01/08/2000,1327.775
01/09/2000,1336.193
01/10/2000,1354.979
01/11/2000,1341.182
01/12/2000,1331.461
01/01/2001,1348.859
01/02/2001,1373.569
01/03/2001,1385.448
01/04/2001,1338.6
01/05/2001,1352.019
01/06/2001,1360.181
01/07/2001,1363.072
01/08/2001,1344.07
01/09/2001,1347.202
01/10/2001,1346.459
01/11/2001,1359.338
01/12/2001,1355.724
01/01/2002,1331.923
01/02/2002,1360.487
01/03/2002,1343.828
01/04/2002,1346.551
01/05/2002,1345.328
01/06/2002,1345.198
01/07/2002,1329.688
01/08/2002,1308.423
01/09/2002,1328.579
01/10/2002,1330.094
01/11/2002,1312.092
01/12/2002,1321.217
01/01/2003,1333.267
01/02/2003,1338.189
01/03/2003,1332.93
01/04/2003,1324.746
01/05/2003,1318.148
01/06/2003,1295.354
01/07/2003,1320.744
01/08/2003,1329.274
01/09/2003,1338.923
01/10/2003,1313.248
01/11/2003,1277.811
01/12/2003,1329.843
01/01/2004,1315.024
01/02/2004,1346.378
01/03/2004,1363.027
01/04/2004,1364.676
01/05/2004,1375.382
01/06/2004,1376.732
01/07/2004,1356.151
01/08/2004,1368.862
01/09/2004,1369.296
01/10/2004,1390.628
01/11/2004,1370.389
01/12/2004,1374.955
01/01/2005,1338.194
01/02/2005,1376.886
01/03/2005,1373.853
01/04/2005,1376.028
01/05/2005,1352.279
01/06/2005,1371.116
01/07/2005,1362.074
01/08/2005,1356.242
01/09/2005,1333.462
01/10/2005,1373.423
01/11/2005,1388.116
01/12/2005,1385.211
01/01/2006,1403.968
01/02/2006,1403.573
01/03/2006,1428.79
01/04/2006,1428.986
01/05/2006,1425.618
01/06/2006,1426.696
01/07/2006,1419.652
01/08/2006,1427.646
01/09/2006,1428.908
01/10/2006,1433.312
01/11/2006,1428.519
01/12/2006,1405.53
01/01/2007,1439.886
01/02/2007,1439.632
01/03/2007,1447.436
01/04/2007,1446.743
01/05/2007,1449.17
01/06/2007,1451.318
01/07/2007,1451.709
01/08/2007,1450.86
01/09/2007,1459.768
01/10/2007,1457.513
01/01/2008,1438.421
01/02/2008,1442.146
01/03/2008,1438.816
01/04/2008,1436.128
01/05/2008,1425.335
01/06/2008,1435.987
01/07/2008,1434.774
01/08/2008,1431.876
01/09/2008,1436.924
01/10/2008,1433.245
01/11/2008,1423.761
01/12/2008,1439.861
01/01/2009,1443.132
01/02/2009,1446.076
01/03/2009,1418.688
01/04/2009,1424.565
01/05/2009,1437.822
01/06/2009,1446.648
01/07/2009,1453.66
01/08/2009,1452.07
01/09/2009,1442.35
01/10/2009,1449.363
01/11/2009,1441.274
01/12/2009,1449.123
01/01/2010,1444.708
01/02/2010,1429.356
01/03/2010,1424.187
01/04/2010,1423.097
01/05/2010,1432.185
01/06/2010,1432.359
01/07/2010,1429.574
01/08/2010,1407.469
01/09/2010,1403.546
01/10/2010,1396.895
01/11/2010,1405.891
01/12/2010,1409.008
01/01/2011,1427.52
01/02/2011,1448.91
01/03/2011,1433.608
01/04/2011,1418.096
01/05/2011,1422.147
01/06/2011,1395.771
01/07/2011,1410.536
01/08/2011,1417.121
01/09/2011,1411.338
01/10/2011,1400.481
01/11/2011,1404.345
01/12/2011,1413.9
01/01/2012,1410.87
01/02/2012,1397.751
01/03/2012,1382.448
01/04/2012,1429.095
01/05/2012,1431.538
01/06/2012,1420.473
01/07/2012,1386.873
01/08/2012,1395.468
01/09/2012,1405.223
01/10/2012,1397
01/11/2012,1399.738
01/12/2012,1394.842
01/01/2013,1416.893
01/02/2013,1421.359
01/03/2013,1404.528
01/04/2013,1405.176
01/05/2013,1381.505
01/06/2013,1379.413
01/07/2013,1382.395
01/08/2013,1391.142
01/09/2013,1400.982
01/10/2013,1410.704
01/11/2013,1398.397
01/12/2013,1386.038
01/01/2014,1383.417
01/02/2014,1369.066
01/03/2014,1380.648
01/04/2014,1377.453
01/05/2014,1380.657
01/06/2014,1363.474
01/07/2014,1365.033
01/08/2014,1373.237
01/09/2014,1355.467
01/10/2014,1342.721
01/11/2014,1341.152
01/12/2014,1320.143
01/01/2015,1341.402
01/02/2015,1316.979
01/03/2015,1296.615
01/04/2015,1309.153
01/05/2015,1328.862
01/06/2015,1300.92
01/07/2015,1341.28
01/08/2015,1291.186
01/09/2015,1318.498
01/10/2015,1348.756
01/11/2015,1348.665
01/12/2015,1357.406
01/01/2016,1377.832
01/02/2016,1388.282
01/03/2016,1402.029
01/04/2016,1402.173
01/05/2016,1401.69
01/06/2016,1420.243
01/07/2016,1417.004
01/08/2016,1407.117
01/09/2016,1403.642
01/10/2016,1409.451
01/11/2016,1421.09
01/12/2016,1417.925
01/01/2017,1429.787
01/02/2017,1434.014
01/03/2017,1443.746
01/04/2017,1427.803
01/05/2017,1424.573
01/06/2017,1429.574
01/07/2017,1422.607
01/08/2017,1413.851
01/09/2017,1414.563
01/10/2017,1415.368
01/11/2017,1433.636
01/12/2017,1425.486
01/01/2018,1430.909
01/02/2018,1439.172
01/03/2018,1424.243
01/04/2018,1413.701
01/05/2018,1413.618
01/06/2018,1432.177
01/07/2018,1435.072
01/08/2018,1430.024
01/09/2018,1428.73
01/10/2018,1429.089
01/11/2018,1423.568
01/12/2018,1417.759
01/01/2019,1415.616
01/02/2019,1419.345
01/03/2019,1429.352
01/04/2019,1426.522
01/05/2019,1404.895
01/06/2019,1419.552
01/07/2019,1425.806
01/08/2019,1421.91
01/09/2019,1414.651
01/10/2019,1415.695
01/11/2019,1418.174
