Data,APTY
01/07/2000,150.636
01/08/2000,152.903
01/09/2000,154.795
01/10/2000,158.281
01/11/2000,154.165
01/12/2000,155.526
01/01/2001,157.535
01/02/2001,161.307
01/03/2001,163.501
01/04/2001,155.533
01/05/2001,159.223
01/06/2001,160.564
01/07/2001,161.061
01/08/2001,158.297
01/09/2001,158.145
01/10/2001,156.661
01/11/2001,158.757
01/12/2001,160.054
01/01/2002,156.529
01/02/2002,160.396
01/03/2002,158.796
01/04/2002,158.41
01/05/2002,158.933
01/06/2002,159.562
01/07/2002,157.035
01/08/2002,154.069
01/09/2002,156.837
01/10/2002,158.053
01/11/2002,154.888
01/12/2002,156.691
01/01/2003,158.055
01/02/2003,157.686
01/03/2003,157.68
01/04/2003,156.993
01/05/2003,156.958
01/06/2003,154.136
01/07/2003,156.575
01/08/2003,157.836
01/09/2003,159.397
01/10/2003,156.39
01/11/2003,147.121
01/12/2003,156.386
01/01/2004,156.225
01/02/2004,160.974
01/03/2004,164.501
01/04/2004,166.021
01/05/2004,167.38
01/06/2004,166.882
01/07/2004,164.647
01/08/2004,165.921
01/09/2004,166.973
01/10/2004,170.874
01/11/2004,166.202
01/12/2004,167.026
01/01/2005,161.297
01/02/2005,166.323
01/03/2005,167.952
01/04/2005,169.102
01/05/2005,165.213
01/06/2005,168.403
01/07/2005,167.058
01/08/2005,165.678
01/09/2005,161.635
01/10/2005,169.113
01/11/2005,171.15
01/12/2005,170.579
01/01/2006,172.09
01/02/2006,174.157
01/03/2006,176.308
01/04/2006,176.17
01/05/2006,176.505
01/06/2006,176.347
01/07/2006,175.79
01/08/2006,175.873
01/09/2006,176.072
01/10/2006,177.821
01/11/2006,177.144
01/12/2006,173.855
01/01/2007,177.055
01/02/2007,176.524
01/03/2007,178.446
01/04/2007,180.064
01/05/2007,180.813
01/06/2007,180.88
01/07/2007,180.522
01/08/2007,180.613
01/09/2007,181.176
01/10/2007,181.479
01/11/2007,180.752
01/12/2007,181.671
01/01/2008,180.081
01/02/2008,179.79
01/03/2008,180.064
01/04/2008,180.556
01/05/2008,180.095
01/06/2008,180.244
01/07/2008,180.692
01/08/2008,181.536
01/09/2008,182.093
01/10/2008,182.358
01/11/2008,182.576
01/12/2008,183.105
01/01/2009,183.147
01/02/2009,183.952
01/03/2009,184.981
01/04/2009,186.077
01/05/2009,185.902
01/06/2009,185.845
01/07/2009,186
01/08/2009,185.59
01/09/2009,186.857
01/10/2009,186.524
01/11/2009,185.347
01/12/2009,185.723
01/01/2010,185.093
01/02/2010,181.836
01/03/2010,181.522
01/04/2010,179.644
01/05/2010,179.665
01/06/2010,179.575
01/07/2010,178.994
01/08/2010,178.289
01/09/2010,178.695
01/10/2010,179.579
01/11/2010,178.549
01/12/2010,177.776
01/01/2011,178.928
01/02/2011,178.479
01/03/2011,177.653
01/04/2011,173.929
01/05/2011,175.599
01/06/2011,170.809
01/07/2011,172.353
01/08/2011,172.698
01/09/2011,172.667
01/10/2011,172.4
01/11/2011,173.895
01/12/2011,176.68
01/01/2012,172.951
01/02/2012,170.937
01/03/2012,167.9
01/04/2012,173.808
01/05/2012,173.669
01/06/2012,171.128
01/07/2012,166.18
01/08/2012,166.779
01/09/2012,169.757
01/10/2012,170.197
01/11/2012,170.329
01/12/2012,170.806
01/01/2013,172.023
01/02/2013,172.199
01/03/2013,170.89
01/04/2013,171.486
01/05/2013,166.054
01/06/2013,165.406
01/07/2013,166.629
01/08/2013,167.413
01/09/2013,168.163
01/10/2013,171.018
01/11/2013,170.131
01/12/2013,168.035
01/01/2014,167.68
01/02/2014,165.716
01/03/2014,167.836
01/04/2014,168.252
01/05/2014,169.2
01/06/2014,166.344
01/07/2014,167.34
01/08/2014,169.073
01/09/2014,167.301
01/10/2014,168.122
01/11/2014,166.66
01/12/2014,163.623
01/01/2015,164.418
01/02/2015,164.41
01/03/2015,163.647
01/04/2015,165.269
01/05/2015,167.188
01/06/2015,166.262
01/07/2015,168.058
01/08/2015,167.825
01/09/2015,167.901
01/10/2015,169.47
01/11/2015,170.311
01/12/2015,170.076
01/01/2016,172.771
01/02/2016,174.863
01/03/2016,175.115
01/04/2016,175.121
01/05/2016,175.213
01/06/2016,175.396
01/07/2016,174.759
01/08/2016,175.762
01/09/2016,176.184
01/10/2016,177.011
01/11/2016,178.249
01/12/2016,179.052
01/01/2017,178.763
01/02/2017,180.252
01/03/2017,181.959
01/04/2017,180.806
01/05/2017,180.869
01/06/2017,181.146
01/07/2017,179.024
01/08/2017,177.122
01/09/2017,175.588
01/10/2017,178.288
01/11/2017,180.328
01/12/2017,179.884
01/01/2018,179.737
01/02/2018,178.067
01/03/2018,179.21
01/04/2018,182.087
01/05/2018,180.883
01/06/2018,182.185
01/07/2018,181.404
01/08/2018,181.781
01/09/2018,182.533
01/10/2018,183.475
01/11/2018,182.246
01/12/2018,181.781
01/01/2019,179.352
01/02/2019,180.996
01/03/2019,184.378
01/04/2019,182.912
01/05/2019,182.197
01/06/2019,182.763
01/07/2019,181.784
01/08/2019,181.498
01/09/2019,182.71
01/10/2019,183.287
01/11/2019,181.686
01/12/2019,181.822
01/01/2020,183.086
01/02/2020,184.607
01/03/2020,184.288
01/04/2020,185.006
01/05/2020,184.083
01/06/2020,182.856
01/07/2020,182.892
01/08/2020,182.537
01/09/2020,182.917
01/10/2020,182.789
01/11/2020,182.65
01/12/2020,180.693
01/01/2021,179.561
01/02/2021,176.931
01/03/2021,183.369
01/04/2021,183.332
01/05/2021,183.2
01/06/2021,181.843
01/07/2021,180.924
01/08/2021,181.471
01/09/2021,181.459
01/10/2021,181.377
01/11/2021,179.746
01/12/2021,179.982
01/01/2022,179.806
01/02/2022,178.94
01/03/2022,179.147
01/04/2022,178.573
01/05/2022,176.381
01/06/2022,173.137
01/07/2022,171.258
