Data,ARNM
01/01/2008,686.111
01/02/2008,681.003
01/03/2008,713.957
01/04/2008,740.482
01/05/2008,741.335
01/06/2008,748.211
01/07/2008,750.663
01/08/2008,744.89
01/09/2008,715.46
01/10/2008,682.075
01/11/2008,699.814
01/12/2008,691.792
01/01/2009,678.642
01/02/2009,671.165
01/03/2009,643.236
01/04/2009,632.454
01/05/2009,644.212
01/06/2009,686.196
01/07/2009,694.544
01/08/2009,691.444
01/09/2009,681.053
01/10/2009,678.491
01/11/2009,673.536
01/12/2009,667.551
01/01/2010,882.206
01/02/2010,630.41
01/03/2010,611.127
01/04/2010,582.328
01/05/2010,594.166
01/06/2010,639.027
01/07/2010,638.318
01/08/2010,638.061
01/09/2010,628.547
01/10/2010,639.631
01/11/2010,636.328
01/12/2010,617.997
01/01/2011,606.918
01/02/2011,591.649
01/03/2011,539.037
01/04/2011,494.46
01/05/2011,492.84
01/06/2011,560.482
01/07/2011,570.921
01/08/2011,567.757
01/09/2011,573.31
01/10/2011,578.377
01/11/2011,576.519
01/12/2011,577.269
01/01/2012,570.788
01/02/2012,560.358
01/03/2012,544.229
01/04/2012,515.316
