Data,ATHN
01/11/2000,50.431
01/12/2000,50.729
01/01/2001,51.354
01/02/2001,52.674
01/03/2001,52.964
01/04/2001,51.546
01/05/2001,52.058
01/06/2001,52.171
01/07/2001,52.177
01/08/2001,51.502
01/09/2001,51.72
01/10/2001,51.667
01/11/2001,52.381
01/12/2001,52.122
01/01/2002,51.183
01/02/2002,52.17
01/03/2002,51.718
01/04/2002,51.727
01/05/2002,51.63
01/06/2002,51.863
01/07/2002,51.212
01/08/2002,50.465
01/09/2002,50.964
01/10/2002,51.313
01/11/2002,50.979
01/12/2002,52.566
01/01/2003,53.584
01/02/2003,53.521
01/03/2003,53.695
01/04/2003,53.488
01/05/2003,53.321
01/06/2003,52.508
01/07/2003,53.172
01/08/2003,53.408
01/09/2003,53.647
01/10/2003,52.9
01/11/2003,51.5
01/12/2003,53.562
01/01/2004,53.183
01/02/2004,54.172
01/03/2004,54.646
01/04/2004,54.843
01/05/2004,54.979
01/06/2004,54.731
01/07/2004,54.314
01/08/2004,54.533
01/09/2004,54.696
01/10/2004,55.308
01/11/2004,54.574
01/12/2004,54.628
01/01/2005,53.323
01/02/2005,54.415
01/03/2005,54.636
01/04/2005,54.979
01/05/2005,54.593
01/06/2005,54.96
01/07/2005,54.565
01/08/2005,54.214
01/09/2005,53.131
01/10/2005,54.948
01/11/2005,55.196
01/12/2005,55.074
01/01/2006,55.289
01/02/2006,55.77
01/03/2006,55.909
01/04/2006,55.968
01/05/2006,56.025
01/06/2006,56.007
01/07/2006,55.741
01/08/2006,55.703
01/09/2006,55.627
01/10/2006,55.959
01/11/2006,56.179
01/12/2006,55.81
01/01/2007,56.454
01/02/2007,56.447
01/03/2007,56.55
01/04/2007,56.788
01/05/2007,56.795
01/06/2007,56.716
01/07/2007,56.581
01/08/2007,56.475
01/09/2007,56.513
01/10/2007,56.479
01/11/2007,56.292
01/12/2007,56.375
01/01/2008,56.243
01/02/2008,56.43
01/03/2008,56.374
01/04/2008,56.334
01/05/2008,56.25
01/06/2008,56.461
01/07/2008,56.527
01/08/2008,56.652
01/09/2008,56.742
01/10/2008,56.763
01/11/2008,56.792
01/12/2008,56.77
01/01/2009,57.111
01/02/2009,57.399
01/03/2009,57.357
01/04/2009,57.395
01/05/2009,57.377
01/06/2009,57.209
01/07/2009,57.108
01/08/2009,57.053
01/09/2009,57.093
01/10/2009,57.288
01/11/2009,57.312
01/12/2009,57.332
01/01/2010,57.21
01/02/2010,56.935
01/03/2010,56.748
01/04/2010,56.458
01/05/2010,56.523
01/06/2010,56.435
01/07/2010,56.294
01/08/2010,56.314
01/09/2010,56.308
01/10/2010,56.345
01/11/2010,56.181
01/12/2010,56.298
01/01/2011,56.669
01/02/2011,56.744
01/03/2011,56.346
01/04/2011,55.732
01/05/2011,56.278
01/06/2011,55.94
01/07/2011,56.688
01/08/2011,56.735
01/09/2011,56.755
01/10/2011,56.258
01/11/2011,56.281
01/12/2011,57.371
01/01/2012,57.247
01/02/2012,56.892
01/03/2012,56.014
01/04/2012,56.265
01/05/2012,56.561
01/06/2012,57.258
01/07/2012,56.625
01/08/2012,55.886
01/09/2012,56.231
01/10/2012,56.254
01/11/2012,56.079
01/12/2012,55.919
01/01/2013,56.521
01/02/2013,56.834
01/03/2013,56.307
01/04/2013,56.255
01/05/2013,55.357
01/06/2013,55.399
01/07/2013,55.565
01/08/2013,55.756
01/09/2013,56.147
01/10/2013,56.668
01/11/2013,56.571
01/12/2013,56.226
01/01/2014,56.091
01/02/2014,55.585
01/03/2014,55.943
01/04/2014,55.986
01/05/2014,56.121
01/06/2014,55.615
01/07/2014,55.794
01/08/2014,55.961
01/09/2014,55.398
01/10/2014,55.359
01/11/2014,55.08
01/12/2014,54.624
01/01/2015,55.268
01/02/2015,55.337
01/03/2015,55.008
01/04/2015,55.183
01/05/2015,55.256
01/06/2015,54.87
01/07/2015,55.342
01/08/2015,55.165
01/09/2015,55.12
01/10/2015,55.732
01/11/2015,55.714
01/12/2015,55.874
01/01/2016,55.872
01/02/2016,55.634
01/03/2016,55.616
01/04/2016,55.617
01/05/2016,55.733
01/06/2016,55.738
01/07/2016,55.788
01/08/2016,55.889
01/09/2016,55.907
01/10/2016,56.048
01/11/2016,56.128
01/12/2016,56.33
01/01/2017,56.497
01/02/2017,56.713
01/03/2017,56.815
01/04/2017,56.573
01/05/2017,56.44
01/06/2017,56.395
01/07/2017,56.19
01/08/2017,56.017
01/09/2017,56.041
01/10/2017,56.318
01/11/2017,56.51
01/12/2017,56.544
01/01/2018,56.579
01/02/2018,56.643
01/03/2018,56.81
01/04/2018,56.873
01/05/2018,56.153
01/06/2018,56.141
01/07/2018,56.047
01/08/2018,55.919
01/09/2018,56.258
01/10/2018,55.967
01/11/2018,55.969
01/12/2018,55.951
01/01/2019,56.521
01/02/2019,55.956
01/03/2019,55.955
01/04/2019,56.074
01/05/2019,55.638
01/06/2019,55.854
01/07/2019,55.877
01/08/2019,55.847
01/09/2019,55.969
01/10/2019,55.951
01/11/2019,53.69
01/12/2019,45.596
01/01/2020,45.652
01/02/2020,45.808
01/03/2020,45.779
01/04/2020,45.931
01/05/2020,45.684
01/06/2020,45.736
01/07/2020,46.906
01/08/2020,45.647
01/09/2020,45.708
01/10/2020,51.891
01/11/2020,56.209
01/12/2020,55.583
01/01/2021,54.762
01/02/2021,55.869
01/03/2021,56.207
01/04/2021,56.154
01/05/2021,56.19
01/06/2021,52.36
01/07/2021,55.936
01/08/2021,56.089
01/09/2021,56.042
01/10/2021,56.05
01/11/2021,55.862
01/12/2021,56.064
01/01/2022,54.991
01/02/2022,55.692
01/03/2022,53.815
01/04/2022,55.534
01/05/2022,55.531
01/06/2022,54.633
01/07/2022,54.526
