Data,CALM
01/07/2012,70.082
01/08/2012,70.856
01/09/2012,71.678
01/10/2012,71.409
01/11/2012,71.036
01/12/2012,71.635
01/01/2013,72.003
01/02/2013,72.182
01/03/2013,71.619
01/04/2013,71.579
01/05/2013,70.624
01/06/2013,70.639
01/07/2013,70.893
01/08/2013,71.066
01/09/2013,71.418
01/10/2013,71.811
01/11/2013,72.65
01/12/2013,72.372
01/01/2014,72.357
01/02/2014,71.93
01/03/2014,72.722
01/04/2014,72.537
01/05/2014,72.833
01/06/2014,71.944
01/07/2014,72.086
01/08/2014,72.451
01/09/2014,71.965
01/10/2014,71.701
01/11/2014,71.404
01/12/2014,70.872
01/01/2015,71.502
01/02/2015,71.596
01/03/2015,71.087
01/04/2015,71.436
01/05/2015,71.826
01/06/2015,71.423
01/07/2015,71.845
01/08/2015,71.778
01/09/2015,72.114
01/10/2015,71.94
01/11/2015,72.012
01/12/2015,72.295
01/01/2016,72.696
01/02/2016,73.165
01/03/2016,73.112
01/04/2016,72.81
01/05/2016,72.814
01/06/2016,72.801
01/07/2016,72.724
01/08/2016,73.053
01/09/2016,73.149
01/10/2016,73.411
01/11/2016,73.635
01/12/2016,73.819
01/01/2017,74.088
01/02/2017,74.054
01/03/2017,74.228
01/04/2017,73.883
01/05/2017,73.594
01/06/2017,73.593
01/07/2017,73.37
01/08/2017,72.919
01/09/2017,73.003
01/10/2017,73.352
01/11/2017,73.609
01/12/2017,73.764
01/01/2018,73.83
01/02/2018,74.107
01/03/2018,73.915
01/04/2018,73.749
