Data,DOMB
01/03/2016,4.928
01/04/2016,4.946
01/05/2016,4.94
01/06/2016,4.958
01/07/2016,4.944
01/08/2016,4.974
01/09/2016,4.983
01/10/2016,5.074
01/11/2016,5.158
01/12/2016,5.381
01/01/2017,5.434
01/02/2017,5.398
01/03/2017,5.409
01/04/2017,5.342
01/05/2017,5.335
01/06/2017,5.348
01/07/2017,5.266
01/08/2017,5.169
01/09/2017,5.126
01/10/2017,5.188
01/11/2017,5.301
01/12/2017,5.416
01/01/2018,5.506
01/02/2018,5.452
01/03/2018,5.406
01/04/2018,5.391
01/05/2018,5.352
01/06/2018,5.374
01/07/2018,5.381
01/08/2018,5.351
01/09/2018,5.369
01/10/2018,5.406
01/11/2018,5.521
01/12/2018,5.553
01/01/2019,5.534
01/02/2019,5.505
01/03/2019,5.491
01/04/2019,5.475
01/05/2019,5.379
01/06/2019,5.454
01/07/2019,5.432
01/08/2019,6.031
01/09/2019,6.043
01/10/2019,6.069
01/11/2019,6.1
01/12/2020,3.923
01/01/2021,4.226
01/02/2021,4.705
01/03/2021,4.808
01/04/2021,4.808
01/05/2021,4.826
01/06/2021,4.786
01/07/2021,4.761
01/08/2021,4.788
01/09/2021,4.737
01/10/2021,4.775
01/11/2021,4.614
01/12/2021,3.703
01/01/2022,4.169
01/02/2022,4.729
01/03/2022,4.667
01/04/2022,4.726
01/05/2022,4.609
01/06/2022,4.51
01/07/2022,4.475
