Data,DOMC
01/03/2016,18.727
01/04/2016,18.758
01/05/2016,18.707
01/06/2016,18.827
01/07/2016,18.828
01/08/2016,18.975
01/09/2016,18.978
01/10/2016,19.2
01/11/2016,18.97
01/12/2016,18.074
01/01/2017,18.261
01/02/2017,19.187
01/03/2017,19.542
01/04/2017,19.308
01/05/2017,19.334
01/06/2017,19.408
01/07/2017,19.168
01/08/2017,18.85
01/09/2017,18.666
01/10/2017,18.848
01/11/2017,18.987
01/12/2017,17.791
01/01/2018,16.315
01/02/2018,19.075
01/03/2018,19.476
01/04/2018,19.547
01/05/2018,19.497
01/06/2018,19.603
01/07/2018,19.588
01/08/2018,19.541
01/09/2018,19.537
01/10/2018,19.528
01/11/2018,18.339
01/12/2018,15.212
01/01/2019,14.544
01/02/2019,18.829
01/03/2019,19.387
01/04/2019,19.545
01/05/2019,19.278
01/06/2019,19.202
01/07/2019,19.097
01/08/2019,19.02
01/09/2019,19.002
01/10/2019,18.933
01/11/2019,21.822
01/12/2019,21.703
01/01/2020,21.719
01/02/2020,21.816
01/03/2020,21.886
01/04/2020,21.907
01/05/2020,21.829
01/06/2020,21.776
01/07/2020,21.643
01/08/2020,21.74
01/09/2020,21.723
01/10/2020,21.672
01/11/2020,21.708
01/12/2020,21.358
01/01/2021,21.358
01/02/2021,21.312
01/03/2021,21.367
01/04/2021,21.376
01/05/2021,21.412
01/06/2021,21.401
01/07/2021,21.258
01/08/2021,21.35
01/09/2021,21.227
01/10/2021,21.245
01/11/2021,20.986
01/12/2021,20.874
01/01/2022,20.955
01/02/2022,20.88
01/03/2022,20.78
01/04/2022,20.58
01/05/2022,20.195
01/06/2022,19.885
01/07/2022,19.643
