Data,DRBS
01/01/1967,106.304
01/02/1967,105.538
01/03/1967,106.955
01/04/1967,107.45
01/05/1967,106.813
01/06/1967,106.225
01/07/1967,106.808
01/08/1967,105.819
01/09/1967,106.293
01/10/1967,106.278
01/11/1967,104.144
01/12/1967,105.206
01/01/1968,105.238
01/02/1968,105.166
01/03/1968,104.735
01/04/1968,105.609
01/05/1968,105.1
01/06/1968,104.206
01/07/1968,103.619
01/08/1968,104.1
01/09/1968,103.173
01/10/1968,101.843
01/11/1968,99.164
01/12/1968,99.183
01/01/1969,101.775
01/02/1969,102.861
01/03/1969,101.946
01/04/1969,101.172
01/05/1969,98.754
01/06/1969,97.651
01/07/1969,98.447
01/08/1969,100.159
01/09/1969,100.213
01/10/1969,100.301
01/11/1969,100.234
01/12/1969,100.673
01/01/1970,100.286
01/02/1970,101.168
01/03/1970,101.28
01/04/1970,99.942
01/05/1970,99.771
01/06/1970,98.003
01/07/1970,98.113
01/08/1970,99.337
01/09/1970,100.536
01/10/1970,100.889
01/11/1970,99.211
01/12/1970,101.362
01/01/1971,100.86
01/02/1971,102.415
01/03/1971,103.202
01/04/1971,104.041
01/05/1971,104.771
01/06/1971,106.442
01/07/1971,106.114
01/08/1971,106.696
01/09/1971,106.095
01/10/1971,106.529
01/11/1971,106.613
01/12/1971,106.074
01/01/1972,106.782
01/02/1972,106.446
01/03/1972,107.447
01/04/1972,108.384
01/05/1972,108.133
01/06/1972,106.461
01/07/1972,107.354
01/08/1972,103.31
01/09/1972,107.292
01/10/1972,108.898
01/11/1972,107.653
01/12/1972,108.168
01/01/1973,106.554
01/02/1973,104.262
01/03/1973,104.296
01/04/1973,103.112
01/05/1973,101.571
01/06/1973,104.024
01/07/1973,104.879
01/08/1973,105.315
01/09/1973,106.33
01/10/1973,105.542
01/11/1973,105.866
01/12/1973,105.464
01/01/1974,106.16
01/02/1974,105.717
01/03/1974,106.084
01/04/1974,105.59
01/05/1974,103.779
01/06/1974,102.544
01/07/1974,101.332
