Data,ESOI
01/06/1998,172.111
01/07/1998,439.984
01/08/1998,431.12
01/09/1998,432.17
01/10/1998,430.367
01/11/1998,431.262
01/12/1998,422.579
01/01/1999,166.882
01/02/1999,166.591
01/03/1999,169.8
01/04/1999,170.677
01/05/1999,171.308
01/06/1999,172.723
01/07/1999,173.308
01/08/1999,10482.632
01/09/1999,170.214
01/10/1999,170.04
01/11/1999,169.344
01/12/1999,168.637
01/01/2000,148.411
01/02/2000,154.098
01/03/2000,158.097
01/04/2000,166.796
01/05/2000,165.822
01/06/2000,165.547
01/07/2000,165.086
01/08/2000,167.604
01/09/2000,168.352
01/10/2000,169.437
01/11/2000,166.817
01/12/2000,164.358
01/02/2001,163.493
01/03/2001,170.326
01/04/2001,166.11
01/05/2001,168.433
01/06/2001,166.838
01/07/2001,170.544
01/08/2001,168.583
01/09/2001,169.376
01/10/2001,168.593
01/11/2001,169.111
01/12/2001,165.93
01/01/2002,154.991
01/02/2002,162.198
01/03/2002,165.422
01/04/2002,166.764
01/05/2002,167.968
01/06/2002,169.218
01/07/2002,167.542
01/08/2002,165.609
01/09/2002,167.294
01/10/2002,167.747
01/11/2002,165.638
01/12/2002,162.716
01/01/2003,163.777
01/02/2003,141.355
01/03/2003,120.386
01/04/2003,154.934
01/05/2003,166.597
01/06/2003,164.583
01/07/2003,168.155
01/08/2003,169.334
01/09/2003,169.835
01/10/2003,167.69
01/11/2003,162.931
01/12/2003,165.536
01/01/2004,151.192
01/02/2004,126.558
01/03/2004,165.054
01/04/2004,172.342
01/05/2004,214.168
01/06/2004,174.878
01/07/2004,173.61
01/08/2004,173.634
01/09/2004,174.125
01/10/2004,177.116
01/11/2004,172.064
01/12/2004,187.787
01/01/2005,163.569
01/02/2005,184.848
01/03/2005,169.735
01/04/2005,172.375
01/05/2005,172.552
01/06/2005,173.997
01/07/2005,175.277
01/09/2005,174.802
01/10/2005,178.105
01/11/2005,178.335
01/12/2005,178.213
01/01/2006,154.735
01/02/2006,155.265
01/03/2006,176.537
01/04/2006,179.241
01/05/2006,180.409
01/06/2006,180.87
01/07/2006,180.091
01/08/2006,180.59
01/09/2006,180.559
01/10/2006,180.544
01/11/2006,179.088
01/12/2006,177.948
01/01/2007,172.635
01/02/2007,170.172
01/03/2007,174.673
01/04/2007,179.45
01/05/2007,181.173
01/06/2007,182.093
01/07/2007,181.82
01/08/2007,181.615
01/09/2007,183.285
01/10/2007,181.884
01/11/2007,180.491
01/12/2007,180.066
01/01/2008,178.01
01/02/2008,172.673
01/03/2008,177.649
01/04/2008,181.479
01/05/2008,181.315
01/06/2008,181.388
01/07/2008,182.322
01/08/2008,182.571
01/09/2008,182.287
01/10/2008,181.941
01/11/2008,181.963
01/12/2008,179.923
01/01/2009,363.063
01/02/2009,348.679
01/03/2009,175.154
01/04/2009,187.159
01/05/2009,10980.915
01/06/2009,11026.974
01/09/2009,125.03
