Data,HRMS
01/05/1957,119.549
01/06/1957,118.011
01/07/1957,117.219
01/08/1957,119.339
01/09/1957,117.664
01/10/1957,117.061
01/11/1957,113.807
01/12/1957,112.507
01/01/1958,111.657
01/02/1958,113.746
01/03/1958,111.707
01/04/1958,112.297
01/05/1958,114.194
01/08/1958,114.953
01/09/1958,114.815
01/10/1958,114.56
01/11/1958,115.209
01/12/1958,114.225
01/01/1959,115.01
01/02/1959,113.594
01/03/1959,115.645
01/04/1959,117.132
01/05/1959,113.871
01/06/1959,114.274
01/07/1959,109.562
01/08/1959,110.34
01/09/1959,110.923
01/10/1959,113.695
01/11/1959,113.769
01/12/1959,113.207
01/01/1960,112.387
01/02/1960,112.838
01/03/1960,114.069
01/04/1960,111.775
01/05/1960,110.686
01/06/1960,113.353
01/07/1960,112.754
01/08/1960,114.454
01/09/1960,116.01
01/10/1960,117.428
01/11/1960,115.096
01/12/1960,117.244
01/01/1961,118.062
01/02/1961,118.659
01/03/1961,119.01
01/04/1961,119.029
01/05/1961,119.517
01/06/1961,119.779
01/07/1961,116.593
01/08/1961,119.164
01/09/1961,119.665
01/10/1961,120.639
01/11/1961,122.691
01/12/1961,121.922
01/01/1962,122.799
01/02/1962,121.585
01/03/1962,122.016
01/04/1962,120.91
01/05/1962,121.574
01/06/1962,121.204
01/07/1962,120.62
01/08/1962,120.848
01/09/1962,121.087
01/10/1962,121.109
01/11/1962,122.006
01/12/1962,121.669
01/01/1963,123.055
01/03/1963,124.03
01/04/1963,124.204
01/05/1963,122.229
01/06/1963,123.027
01/07/1963,122.874
01/08/1963,122.651
01/09/1963,121.673
01/10/1963,122.729
01/11/1963,123.721
01/12/1963,124.408
01/01/1964,125.279
01/02/1964,124.779
01/03/1964,124.142
01/04/1964,123.587
01/05/1964,124.103
01/06/1964,124.456
01/09/1964,123.783
01/10/1964,124.146
01/11/1964,124.022
01/12/1964,125.577
01/01/1965,125.638
01/02/1965,125.687
01/03/1965,126.235
01/04/1965,126.941
01/05/1965,126.836
01/06/1965,125.353
01/07/1965,124.91
01/08/1965,124.703
01/09/1965,125.036
01/10/1965,125.417
01/11/1965,125.979
01/12/1965,126.432
01/01/1966,125.769
01/02/1966,125.626
01/03/1966,124.882
01/04/1966,124.212
01/05/1966,124.887
01/06/1966,123.398
01/07/1966,122.751
01/08/1966,122.928
01/09/1966,119.573
01/10/1966,121.466
01/11/1966,122.464
01/12/1966,121.704
01/01/1967,120.906
01/02/1967,120.586
01/03/1967,121.192
01/04/1967,120.619
01/05/1967,119.619
01/06/1967,118.764
01/07/1967,119.564
01/08/1967,118.221
01/09/1967,118.727
01/10/1967,118.819
01/11/1967,117.963
01/12/1967,117.886
01/01/1968,118.414
01/02/1968,118.223
01/03/1968,117.828
01/04/1968,118.502
01/05/1968,117.41
01/06/1968,116.255
01/07/1968,116.399
01/08/1968,116.779
01/09/1968,116.194
01/10/1968,115.223
01/11/1968,113.112
01/12/1968,113.934
01/01/1969,116.104
01/02/1969,116.608
01/03/1969,115.921
01/04/1969,115.609
01/05/1969,113.192
01/06/1969,112.186
01/07/1969,113.878
01/08/1969,115.692
01/09/1969,116.627
01/10/1969,116.958
01/11/1969,116.985
01/12/1969,117.001
01/01/1970,116.766
01/02/1970,117.285
01/03/1970,117.476
01/04/1970,116.486
01/05/1970,116.313
01/06/1970,114.073
01/07/1970,114.523
01/08/1970,115.795
01/09/1970,117.244
01/10/1970,117.408
01/11/1970,116.102
01/12/1970,118.582
01/01/1971,118.408
01/02/1971,120.004
01/03/1971,120.069
01/04/1971,120.389
01/05/1971,120.943
01/06/1971,122.637
01/07/1971,122.601
01/08/1971,122.896
01/09/1971,122.705
01/10/1971,123.406
01/11/1971,123.131
01/12/1971,123.037
01/01/1972,122.771
01/02/1972,122.751
01/03/1972,123.818
01/04/1972,124.223
01/05/1972,123.531
01/06/1972,122.211
01/07/1972,123.813
01/08/1972,118.027
