Data,INVK
01/01/2000,180.165
01/02/2000,178.204
01/03/2000,176.076
01/04/2000,176.469
01/05/2000,172.783
01/06/2000,169.843
01/07/2000,166.61
01/08/2000,169.361
01/09/2000,172.136
01/10/2000,174.004
01/11/2000,168.192
01/12/2000,170.429
01/01/2001,172.992
01/02/2001,175.312
01/03/2001,178.563
01/04/2001,171.446
01/05/2001,176.58
01/06/2001,177.55
01/07/2001,178.285
01/08/2001,174.935
01/09/2001,176.219
01/10/2001,171.485
01/11/2001,173.798
01/12/2001,175.065
01/01/2002,170.764
01/02/2002,175.869
01/03/2002,174.52
01/04/2002,174.214
01/05/2002,174.437
01/06/2002,175.173
01/07/2002,172.645
01/08/2002,168.981
01/09/2002,171.669
01/10/2002,172.576
01/11/2002,169.878
01/12/2002,170.351
01/01/2003,172.884
01/02/2003,172.749
01/03/2003,173.968
01/04/2003,172.65
01/05/2003,171.951
01/06/2003,168.298
01/07/2003,170.911
01/08/2003,172.395
01/09/2003,174.18
01/10/2003,171.334
01/11/2003,160.988
01/12/2003,171.562
01/01/2004,171.307
01/02/2004,175.852
01/03/2004,178.968
01/04/2004,181.29
01/05/2004,183.326
01/06/2004,183.43
01/07/2004,180.732
01/08/2004,182.17
01/09/2004,183.643
01/10/2004,187.701
01/11/2004,182.854
01/12/2004,185.081
01/01/2005,178.089
01/02/2005,182.175
01/03/2005,183.411
01/04/2005,185.158
01/05/2005,181.217
01/06/2005,184.845
01/07/2005,183.276
01/08/2005,181.507
01/09/2005,177.841
01/10/2005,185.964
01/11/2005,187.157
01/12/2005,186.61
01/01/2006,187.703
01/02/2006,190.347
01/03/2006,192.368
01/04/2006,192.676
01/05/2006,193.882
01/06/2006,194.047
01/07/2006,193.185
01/08/2006,193.1
01/09/2006,193.463
01/10/2006,194.95
01/11/2006,195.102
01/12/2006,190.77
01/01/2007,194.721
01/02/2007,194.734
01/03/2007,195.62
01/04/2007,197.173
01/05/2007,197.794
01/06/2007,197.641
01/07/2007,197.525
01/08/2007,197.463
01/09/2007,198.133
01/10/2007,197.995
01/11/2007,196.726
01/12/2007,197.813
01/01/2008,196.999
01/02/2008,196.982
01/03/2008,197.07
01/04/2008,197.746
01/05/2008,197.268
01/06/2008,197.636
01/07/2008,198.179
01/08/2008,199.286
01/09/2008,200.017
01/10/2008,198.698
01/11/2008,199.248
01/12/2008,200.346
01/01/2009,200.832
01/02/2009,201.829
01/03/2009,202.807
01/04/2009,203.428
01/05/2009,204.198
01/06/2009,204.002
01/07/2009,203.885
01/08/2009,203.556
01/09/2009,204.255
01/10/2009,204.155
01/11/2009,204.052
01/12/2009,204.104
01/01/2010,203.754
01/02/2010,200.967
01/03/2010,199.969
01/04/2010,197.711
01/05/2010,198.939
01/06/2010,197.862
01/07/2010,197.697
01/08/2010,196.681
01/09/2010,197.141
01/10/2010,197.441
01/11/2010,196.104
01/12/2010,195.675
01/01/2011,197.495
01/02/2011,197.38
01/03/2011,195.41
01/04/2011,191.318
01/05/2011,192.036
01/06/2011,188.126
01/07/2011,189.791
01/08/2011,190.232
01/09/2011,170.846
01/10/2011,188.882
01/11/2011,191.534
01/12/2011,193.768
01/01/2012,192.384
01/02/2012,189.808
01/03/2012,184.731
01/04/2012,190.829
01/05/2012,191.477
01/06/2012,188.833
01/07/2012,183.204
01/08/2012,184.108
01/09/2012,187.026
01/10/2012,187.077
01/11/2012,187.246
01/12/2012,188.145
01/01/2013,189.213
01/02/2013,189.034
01/03/2013,186.922
01/04/2013,188.363
01/05/2013,183.235
01/06/2013,182.693
01/07/2013,183.765
01/08/2013,184.577
01/09/2013,185.526
01/10/2013,187.822
01/11/2013,187.516
01/12/2013,186.103
01/01/2014,185.307
01/02/2014,182.523
01/03/2014,183.372
01/04/2014,184.271
01/05/2014,186.365
01/06/2014,184.211
01/07/2014,184.859
01/08/2014,186.521
01/09/2014,184.934
01/10/2014,184.811
01/11/2014,184.011
01/12/2014,180.664
01/01/2015,183.158
01/02/2015,183.017
01/03/2015,180.137
01/04/2015,181.626
01/05/2015,183.846
01/06/2015,182.774
01/07/2015,185.603
01/08/2015,186.559
01/09/2015,186.578
01/10/2015,186.454
01/11/2015,187.031
01/12/2015,187.929
01/01/2016,190.01
01/02/2016,191.961
01/03/2016,191.608
01/04/2016,192.053
01/05/2016,193.459
01/06/2016,193.949
01/07/2016,193.1
01/08/2016,193.933
01/09/2016,195.352
01/10/2016,196.998
01/11/2016,197.257
01/12/2016,197.857
01/01/2017,198.399
01/02/2017,198.344
01/03/2017,199.295
01/04/2017,197.837
01/05/2017,198.676
01/06/2017,199.482
01/07/2017,197.403
01/08/2017,195.22
01/09/2017,195.158
01/10/2017,197.025
01/11/2017,198.847
01/12/2017,198.717
01/01/2018,199.506
01/02/2018,200.089
01/03/2018,199.961
01/04/2018,200.971
01/05/2018,201.234
01/06/2018,201.24
01/07/2018,201.403
01/08/2018,201.037
01/09/2018,202.364
01/10/2018,201.909
01/11/2018,200.615
01/12/2018,200.075
01/01/2019,200.504
01/02/2019,200.914
01/03/2019,202.149
01/04/2019,202.929
01/05/2019,201.101
01/06/2019,202.087
01/07/2019,201.726
01/08/2019,201.356
01/09/2019,203.397
01/10/2019,203.355
01/11/2019,203.276
01/12/2019,202.46
01/01/2020,202.271
01/02/2020,202.415
01/03/2020,203.159
01/04/2020,203.031
01/05/2020,202.933
01/06/2020,203.034
01/07/2020,202.034
01/08/2020,202.233
01/09/2020,202.693
01/10/2020,202.63
01/11/2020,202.561
01/12/2020,200.776
01/01/2021,200.801
01/02/2021,200.783
01/03/2021,201.299
01/04/2021,201.546
01/05/2021,201.644
01/06/2021,201.45
01/07/2021,200.01
01/08/2021,200.914
01/09/2021,200.978
01/10/2021,200.729
01/11/2021,199.304
01/12/2021,200.626
01/01/2022,199.47
01/02/2022,198.174
01/03/2022,197.638
01/04/2022,196.461
01/05/2022,194.367
01/06/2022,191.88
01/07/2022,189.148
