Data,JUNG
01/10/1958,189.14
01/11/1958,197.752
01/12/1958,195.805
01/01/1959,197.64
01/02/1959,193.214
01/03/1959,199.574
01/04/1959,201.088
01/05/1959,193.858
01/06/1959,195.694
01/07/1959,180.214
01/08/1959,171.869
01/09/1959,173.489
01/10/1959,178.944
01/11/1959,174.141
01/12/1959,176.423
01/01/1960,172.941
01/02/1960,174.613
01/03/1960,175.516
01/04/1960,172.042
01/05/1960,170.136
01/06/1960,175.272
01/07/1960,174.481
01/08/1960,178.858
01/09/1960,177.322
01/10/1960,173.278
01/11/1960,170.522
01/12/1960,174.671
01/01/1961,182.87
01/02/1961,182.094
01/03/1961,184.509
01/04/1961,182.716
01/05/1961,184.108
01/06/1961,183.92
01/07/1961,178.614
01/08/1961,182.074
01/09/1961,181.608
01/10/1961,184.752
01/11/1961,186.098
01/12/1961,186.393
01/01/1962,187.795
01/02/1962,187.067
01/03/1962,189.294
01/04/1962,186.551
01/05/1962,187.181
01/06/1962,188.058
01/07/1962,189.028
01/08/1962,189.031
01/09/1962,187.835
01/10/1962,188.718
01/11/1962,187.061
01/12/1962,187.933
01/01/1963,203.936
01/02/1963,203.444
01/03/1963,202.682
01/04/1963,193.04
01/05/1963,192.165
01/06/1963,194.613
01/07/1963,196.705
01/08/1963,195.516
01/09/1963,194.761
01/10/1963,198.34
01/11/1963,193.892
01/12/1963,194.64
01/01/1964,199.04
01/02/1964,200.81
01/03/1964,197.898
01/04/1964,199.107
01/05/1964,201.977
01/06/1964,202.816
01/07/1964,198.753
01/08/1964,198.332
01/09/1964,197.729
01/10/1964,195.429
01/11/1964,199.315
01/12/1964,207.944
01/01/1965,204.122
01/02/1965,204.421
01/03/1965,204.245
01/04/1965,206.435
01/05/1965,205.617
01/06/1965,199.468
01/07/1965,202.673
01/08/1965,201.33
01/09/1965,199.61
01/10/1965,200.271
01/11/1965,200.936
01/12/1965,201.217
01/01/1966,204.239
01/02/1966,203.12
01/03/1966,203.494
01/04/1966,207.724
01/05/1966,209.012
01/06/1966,206.008
01/07/1966,204.393
01/08/1966,202.415
01/09/1966,195.936
01/10/1966,207.313
01/11/1966,208.051
01/12/1966,195.209
01/01/1967,186.35
01/02/1967,192.397
01/03/1967,190.536
01/04/1967,185.234
01/05/1967,178.158
01/06/1967,183.383
01/07/1967,188.939
01/08/1967,188.532
01/09/1967,188.247
01/10/1967,189.046
01/11/1967,187.307
01/12/1967,187.994
01/01/1968,187.813
01/02/1968,186.764
01/03/1968,180.645
01/04/1968,181.703
01/05/1968,176.033
01/06/1968,178.002
01/07/1968,178.145
01/08/1968,183.872
01/09/1968,179.286
01/10/1968,170.621
01/11/1968,164.491
01/12/1968,166.823
01/01/1969,171.059
01/02/1969,172.791
01/03/1969,171.089
01/04/1969,169.946
01/05/1969,165.279
01/06/1969,163.489
01/07/1969,166.771
01/08/1969,169.768
01/09/1969,172.94
01/10/1969,173.49
01/11/1969,172.682
01/12/1969,172.199
01/01/1970,171.448
01/02/1970,171.969
01/03/1970,172.497
01/04/1970,170.744
01/05/1970,168.559
01/06/1970,167.722
01/07/1970,168.225
01/08/1970,171.136
01/09/1970,173.463
01/10/1970,172.71
01/11/1970,170.306
01/12/1970,175.38
01/01/1971,175.114
01/02/1971,177.988
01/03/1971,177.728
01/04/1971,177.902
01/05/1971,179.212
01/06/1971,181.813
01/07/1971,182.108
01/08/1971,182.295
01/09/1971,181.938
01/10/1971,182.726
01/11/1971,181.185
01/12/1971,180.32
01/01/1972,180.883
01/02/1972,181.593
01/03/1972,183.291
01/04/1972,185.691
01/05/1972,184.393
01/06/1972,181.473
01/07/1972,185.938
01/08/1972,170.58
01/09/1972,170.828
01/10/1972,179.309
01/11/1972,181.122
