Data,JUNG1
01/01/2009,387.814
01/02/2009,387.557
01/03/2009,387.619
01/04/2009,390.753
01/05/2009,387.093
01/06/2009,395.542
01/07/2009,398.993
01/08/2009,402.786
01/09/2009,401.789
01/10/2009,400.066
01/11/2009,398.995
01/12/2009,387.827
01/01/2010,395.199
01/02/2010,389.398
01/03/2010,385.612
01/04/2010,376.397
01/05/2010,373.245
01/06/2010,377.045
01/07/2010,386.975
01/08/2010,378.481
01/09/2010,374.312
01/10/2010,373.152
01/11/2010,369.815
01/12/2010,364.351
01/01/2011,365.222
01/02/2011,365.052
01/03/2011,356.12
01/04/2011,353.599
01/05/2011,363.344
01/06/2011,360.546
01/07/2011,372.35
01/08/2011,376.596
01/09/2011,378.031
01/10/2011,370.021
01/11/2011,371.961
01/12/2011,373.654
01/01/2012,370.353
01/02/2012,369.126
01/03/2012,360.827
01/04/2012,362.258
01/05/2012,354.731
01/06/2012,358.645
01/07/2012,361.593
01/08/2012,367.644
01/09/2012,366.358
01/10/2012,359.811
01/11/2012,361.193
01/12/2012,353.42
01/01/2013,334.56
01/02/2013,359.493
01/03/2013,353.588
01/04/2013,353.226
01/05/2013,339.944
01/06/2013,340.743
01/07/2013,364.864
01/08/2013,368.706
01/09/2013,364.405
01/10/2013,366.603
01/11/2013,363.282
01/12/2013,360.636
01/01/2014,357.873
01/02/2014,364.376
01/03/2014,351.947
01/04/2014,351.276
01/05/2014,341.333
01/06/2014,351.076
01/07/2014,352.484
01/08/2014,362.821
01/09/2014,357.61
01/10/2014,355.103
01/11/2014,344.628
01/12/2014,335.68
01/01/2015,341.942
01/02/2015,340.894
01/03/2015,336.583
01/04/2015,336.803
01/05/2015,342.132
01/06/2015,356.567
01/07/2015,369.517
01/08/2015,368.922
01/09/2015,361.172
01/10/2015,357.598
01/11/2015,359.598
01/12/2015,365.341
01/01/2016,369.239
01/02/2016,372.413
01/03/2016,366.818
01/04/2016,359.682
01/05/2016,343.895
01/06/2016,339.807
01/07/2016,371.949
01/08/2016,381.68
01/09/2016,379.496
01/10/2016,378.697
01/11/2016,376.142
01/12/2016,376.855
01/01/2017,379.282
01/02/2017,377.639
01/03/2017,375.316
01/04/2017,366.29
01/05/2017,357.162
01/06/2017,383.967
01/07/2017,383.073
01/08/2017,380.836
01/09/2017,378.992
01/10/2017,371.16
01/11/2017,488.789
01/12/2017,1084.242
01/01/2018,682.57
01/02/2018,373.459
01/03/2018,368.235
01/04/2018,365.186
01/05/2018,366.734
01/06/2018,382.699
01/07/2018,392.814
01/08/2018,393.447
01/09/2018,393.445
01/10/2018,390.231
01/11/2018,384.385
01/12/2018,379.677
01/01/2019,459.62
01/02/2019,374.68
01/03/2019,435.773
01/04/2019,378.168
01/05/2019,372.288
01/06/2019,384.426
01/07/2019,396.705
01/08/2019,397.738
01/09/2019,396.731
01/10/2019,389.782
01/11/2019,379.452
01/12/2019,380.671
01/01/2020,386.235
01/02/2020,387.402
01/03/2020,392.805
01/04/2020,398.897
01/05/2020,403.549
01/06/2020,386.744
01/07/2020,424.751
01/08/2020,381.714
01/09/2020,395.837
01/10/2020,386.671
01/11/2020,389.015
01/12/2020,377.087
01/01/2021,380.888
01/02/2021,380.596
01/03/2021,379.755
01/04/2021,381.381
01/05/2021,366.389
01/06/2021,385.19
01/07/2021,389.203
01/08/2021,394.462
01/09/2021,393.147
01/10/2021,387.612
01/11/2021,382.588
01/12/2021,382.635
01/01/2022,382.297
01/02/2022,375.508
01/03/2022,381.343
01/04/2022,376.354
01/05/2022,374.606
01/06/2022,376.512
01/07/2022,376.902
