Data,KERG
01/02/1964,216.096
01/03/1964,217.729
01/04/1964,218.701
01/05/1964,219.71
01/06/1964,219.422
01/07/1964,219.535
01/08/1964,219.692
01/09/1964,221.91
01/10/1964,222.054
01/11/1964,221.922
01/12/1964,224.153
01/01/1965,224.401
01/02/1965,224.572
01/03/1965,225.8
01/04/1965,227.532
01/05/1965,227.558
01/06/1965,225.155
01/07/1965,224.109
01/08/1965,223.828
01/09/1965,224.33
01/10/1965,224.947
01/11/1965,226.229
01/12/1965,226.511
01/01/1966,224.083
01/02/1966,223.784
01/03/1966,221.843
01/04/1966,220.8
01/05/1966,222.506
01/06/1966,219.5
01/07/1966,217.904
01/08/1966,217.252
01/09/1966,210.043
01/10/1966,214.657
01/11/1966,216.489
01/12/1966,214.397
01/01/1967,211.409
01/02/1967,210.448
01/03/1967,213.007
01/04/1967,212.851
01/05/1967,210.928
01/06/1967,209.745
01/07/1967,211.732
01/08/1967,210.381
01/09/1967,209.864
01/10/1967,210.762
01/11/1967,208.05
01/12/1967,207.748
01/01/1968,208.578
01/02/1968,207.476
01/03/1968,207.027
01/04/1968,208.189
01/05/1968,207.174
01/06/1968,204.055
01/07/1968,204.325
01/08/1968,205.64
01/09/1968,202.627
01/10/1968,199.891
01/11/1968,194.029
01/12/1968,196.061
01/01/1969,201.733
01/02/1969,201.752
01/03/1969,200.953
01/04/1969,200.426
01/05/1969,195.088
01/06/1969,193.057
01/07/1969,195.55
01/08/1969,198.899
01/09/1969,200.837
01/10/1969,201.194
01/11/1969,201.6
01/12/1969,201.215
01/01/1970,201.102
01/02/1970,203.367
01/03/1970,202.504
01/04/1970,199.865
01/05/1970,200.362
01/06/1970,196.404
01/07/1970,196.814
01/08/1970,199.943
01/09/1970,203.31
01/10/1970,204.103
01/11/1970,200.924
01/12/1970,206.098
01/01/1971,206.032
01/02/1971,209.331
01/03/1971,210.008
01/04/1971,210.538
01/05/1971,212.05
01/06/1971,216.267
01/07/1971,216.797
01/08/1971,218.346
01/09/1971,217.98
01/10/1971,219.476
01/11/1971,219.01
01/12/1971,218.291
01/01/1972,217.084
01/02/1972,217.499
01/03/1972,220.269
01/04/1972,222.139
01/05/1972,220.702
01/06/1972,216.978
01/07/1972,220.533
01/08/1972,210.835
01/09/1972,219.325
01/10/1972,220.136
01/11/1972,218.918
01/12/1972,220.024
01/01/1973,219.259
01/02/1973,218.907
01/03/1973,217.772
01/04/1973,213.216
01/05/1973,210.829
01/06/1973,215.949
01/07/1973,218.18
01/08/1973,219.325
01/09/1973,221.597
01/10/1973,221.169
01/11/1973,221.786
01/12/1973,221.742
01/01/1974,221.724
01/02/1974,222.672
01/03/1974,220.66
01/04/1974,219.856
01/05/1974,216.486
01/06/1974,214.427
01/07/1974,211.301
01/08/1974,214.521
01/09/1974,211.892
01/10/1974,211.95
01/11/1974,213.639
01/12/1974,217.121
01/01/1975,217.588
01/02/1975,219.795
01/03/1975,220.059
01/04/1975,221.371
01/05/1975,222.22
01/06/1975,223.051
01/07/1975,222.429
01/08/1975,220.553
01/09/1975,220.952
01/10/1975,220.582
01/11/1975,218.38
01/12/1975,219.985
01/01/1976,220.154
01/02/1976,220.469
01/03/1976,220.225
01/04/1976,218.843
01/05/1976,220.557
01/06/1976,221.772
01/07/1976,222.661
01/08/1976,223.07
01/09/1976,222.673
01/10/1976,222.662
01/11/1976,222.812
01/12/1976,222.577
01/01/1977,222.196
01/02/1977,222.49
01/03/1977,222.18
01/04/1977,222.256
01/05/1977,222.396
01/06/1977,221.238
01/07/1977,218.563
01/08/1977,219.225
01/09/1977,218.823
01/10/1977,221.009
01/11/1977,222.663
01/12/1977,222.042
01/01/1978,217.85
01/02/1978,217.144
01/03/1978,216.022
01/04/1978,212.211
01/05/1978,208.105
01/06/1978,211.555
01/07/1978,212.397
01/08/1978,217.342
01/09/1978,217.336
01/10/1978,213.007
01/11/1978,214.727
01/12/1978,214.991
01/01/1979,212.268
01/02/1979,211.015
01/03/1979,209.619
01/04/1979,207.487
01/05/1979,208.656
01/06/1979,204.366
01/07/1979,205.049
01/08/1979,200.575
01/09/1979,201.513
01/10/1979,204.634
01/11/1979,204.142
01/12/1979,207.791
01/01/1980,206.077
01/02/1980,205.403
01/03/1980,208.201
01/04/1980,204.698
01/05/1980,205.425
01/06/1980,199.778
01/07/1980,199.543
01/08/1980,200.597
01/09/1980,199.954
01/10/1980,196.306
01/11/1980,192.412
01/12/1980,192.777
01/01/1981,198.458
01/02/1981,195.521
01/03/1981,194.404
01/04/1981,192.37
01/05/1981,190.547
01/06/1981,196.473
01/07/1981,197.723
01/08/1981,197.661
01/09/1981,199.191
01/10/1981,192.845
01/11/1981,194.804
01/12/1981,199.372
01/01/1982,201.915
01/02/1982,195.005
01/03/1982,201.506
01/04/1982,202.968
01/05/1982,205.33
01/06/1982,195.572
01/07/1982,187.022
01/08/1982,187.528
01/09/1982,182.475
01/10/1982,187.125
01/11/1982,188.996
01/12/1982,185.365
01/01/1983,190.671
01/02/1983,195.34
01/03/1983,199.01
01/04/1983,199.548
01/05/1983,193.844
01/06/1983,197.733
01/07/1983,202.255
01/08/1983,201.959
01/09/1983,203.74
01/10/1983,204.234
01/11/1983,205.12
01/12/1983,205.048
01/01/1984,206.633
01/02/1984,205.393
01/03/1984,202.481
01/04/1984,200.962
01/05/1984,196.71
01/06/1984,200.167
01/07/1984,202.215
01/08/1984,204.757
01/09/1984,205.888
01/10/1984,205.333
01/11/1984,204.464
01/12/1984,205.691
01/01/1985,206.568
01/02/1985,210.122
01/03/1985,210.866
01/04/1985,212.556
01/05/1985,213.79
01/06/1985,215.71
01/07/1985,216.005
01/08/1985,215.957
01/09/1985,218.581
01/10/1985,218.437
01/11/1985,220.11
01/12/1985,218.962
01/01/1986,218.981
01/02/1986,213.502
01/03/1986,217.749
01/04/1986,222.014
01/05/1986,222.841
01/06/1986,224.476
01/07/1986,224.613
01/08/1986,224.836
01/09/1986,224.567
01/10/1986,226.028
01/11/1986,222.52
01/12/1986,225.381
01/01/1987,227.85
01/02/1987,230.017
01/03/1987,229.99
01/04/1987,229.201
01/05/1987,227.892
01/06/1987,224.969
01/07/1987,223.33
01/08/1987,221.113
01/09/1987,219.366
01/10/1987,219.652
01/11/1987,216.974
01/12/1987,217.349
01/01/1988,212.198
01/02/1988,213.359
01/03/1988,214.22
01/04/1988,213.236
01/05/1988,214.605
01/06/1988,213.147
01/07/1988,210.14
01/08/1988,209.214
01/09/1988,210.064
01/10/1988,208.226
01/11/1988,207.493
01/12/1988,203.321
01/01/1989,200.275
01/02/1989,200.56
01/03/1989,190.06
01/04/1989,191.238
01/05/1989,188.177
01/06/1989,189.086
01/07/1989,194.873
01/08/1989,191.629
01/09/1989,189.604
01/10/1989,185.212
01/11/1989,180.498
01/12/1989,183.286
01/01/1990,187.265
01/02/1990,188.68
01/03/1990,186.356
01/04/1990,181.863
01/05/1990,180.399
01/06/1990,180.763
01/07/1990,186.887
01/08/1990,184.576
01/09/1990,187.863
01/10/1990,192.107
01/11/1990,194.721
01/12/1990,195.26
01/01/1991,199.271
01/02/1991,200.26
01/03/1991,186.778
01/04/1991,188.042
01/05/1991,190.03
01/06/1991,169.228
01/07/1991,169.571
01/08/1991,180.802
01/09/1991,188.732
01/10/1991,191.266
01/11/1991,191.653
01/12/1991,194.78
01/01/1992,195.602
01/02/1992,193.256
01/03/1992,198.108
01/04/1992,203.584
01/05/1992,201.189
01/06/1992,206.096
01/07/1992,208.904
01/08/1992,209.417
01/09/1992,208.685
01/10/1992,211.033
01/11/1992,210.251
01/12/1992,213.411
01/01/1993,212.464
01/02/1993,211.953
01/03/1993,209.515
01/04/1993,212.669
01/05/1993,213.911
01/06/1993,215.341
01/07/1993,216.079
01/08/1993,216.268
01/09/1993,217.111
01/10/1993,217.184
01/11/1993,217.468
01/12/1993,216.953
01/01/1994,217.5
01/02/1994,214.201
01/03/1994,214.175
