Data,KIEL
01/07/1957,151.197
01/08/1957,158.269
01/09/1957,152.644
01/10/1957,156.809
01/11/1957,165.01
01/12/1957,158.181
01/01/1958,156.53
01/02/1958,156.945
01/03/1958,156.192
01/04/1958,160.757
01/05/1958,157.653
01/06/1958,161.262
01/07/1958,151.838
01/08/1958,153.822
01/09/1958,154.28
01/10/1958,150.4
01/11/1958,153.19
01/12/1958,152.466
01/01/1959,149.046
01/02/1959,148.379
01/03/1959,154.556
01/04/1959,155.48
01/05/1959,150.089
01/06/1959,151.851
01/07/1959,142.821
01/08/1959,143.327
01/09/1959,145.753
01/10/1959,146.176
01/11/1959,146.664
01/12/1959,148.268
01/01/1960,147.589
01/02/1960,149.731
01/03/1960,153.362
01/04/1960,148.634
01/05/1960,135.344
01/06/1960,138.497
01/07/1960,137.749
01/08/1960,137.456
01/09/1960,143.193
01/10/1960,144.292
01/11/1960,141.343
01/12/1960,146.478
01/01/1961,148.344
01/02/1961,146.29
01/03/1961,140.945
01/04/1961,144.056
01/05/1961,150.905
01/06/1961,152.693
01/07/1961,146.864
01/08/1961,149.834
01/09/1961,155.239
01/10/1961,156.224
01/11/1961,157.81
01/12/1961,159.548
01/01/1962,157.94
01/02/1962,157.605
01/03/1962,161.295
01/04/1962,164.034
01/05/1962,165.103
01/06/1962,161.883
01/07/1962,161.962
01/08/1962,156.224
01/09/1962,156.046
01/10/1962,152.723
01/11/1962,158.14
01/12/1962,160.733
01/01/1963,164.359
01/02/1963,166.273
01/03/1963,166.079
01/04/1963,166.079
01/05/1963,166.323
01/06/1963,171.664
01/07/1963,172.164
01/08/1963,172.369
01/09/1963,172.346
01/10/1963,176.026
01/11/1963,174.961
01/12/1963,168.009
01/01/1964,164.631
01/02/1964,161.514
01/03/1964,164.561
01/04/1964,169.894
01/05/1964,173.408
01/06/1964,167.437
01/07/1964,170.655
01/08/1964,171.836
01/09/1964,174.474
01/10/1964,176.098
01/11/1964,176.345
01/12/1964,179.847
01/01/1965,179.83
01/02/1965,179.69
01/03/1965,180.712
01/04/1965,181.723
01/05/1965,181.794
01/06/1965,179.207
01/07/1965,178.437
01/08/1965,178.321
01/09/1965,178.415
01/10/1965,178.432
01/11/1965,179.638
01/12/1965,179.853
01/01/1966,178.691
01/02/1966,178.66
01/03/1966,177.079
01/04/1966,175.831
01/05/1966,176.466
01/06/1966,174.987
01/07/1966,173.833
01/08/1966,173.835
01/09/1966,167.583
01/10/1966,171.339
01/11/1966,173.206
01/12/1966,171.45
01/01/1967,169.478
01/02/1967,168.347
01/03/1967,170.534
01/04/1967,170.957
01/05/1967,169.103
01/06/1967,168.366
01/07/1967,169.062
01/08/1967,167.096
01/09/1967,168.432
01/10/1967,168.422
01/11/1967,167.05
01/12/1967,166.904
01/01/1968,167.814
01/02/1968,166.983
01/03/1968,166.69
01/04/1968,168.005
01/05/1968,166.575
01/06/1968,163.903
01/07/1968,164.173
01/08/1968,164.918
01/09/1968,163.287
01/10/1968,161.254
01/11/1968,157.59
01/12/1968,159.408
01/01/1969,163.212
01/02/1969,164.139
01/03/1969,163.116
01/04/1969,162.349
01/05/1969,157.948
01/06/1969,156.652
01/07/1969,158.321
01/08/1969,161.44
01/09/1969,162.296
01/10/1969,162.884
01/11/1969,163.295
01/12/1969,163.512
01/01/1970,162.86
01/02/1970,164.673
01/03/1970,164.057
01/04/1970,161.944
01/05/1970,161.961
01/06/1970,158.786
01/07/1970,158.85
01/08/1970,161.179
01/09/1970,163.462
01/10/1970,164.313
01/11/1970,162.01
01/12/1970,166.253
01/01/1971,166.246
01/02/1971,168.905
01/03/1971,169.277
01/04/1971,169.527
01/05/1971,170.866
01/06/1971,174.113
01/07/1971,174.026
01/08/1971,174.616
01/09/1971,174.311
01/10/1971,175.389
01/11/1971,175.606
01/12/1971,174.676
01/01/1972,174.46
01/02/1972,174.375
01/03/1972,176.416
01/04/1972,177.408
01/05/1972,176.217
01/06/1972,173.11
01/07/1972,175.78
01/08/1972,168.463
01/09/1972,175.175
01/10/1972,175.931
01/11/1972,175.355
01/12/1972,175.508
01/01/1973,175.245
01/02/1973,174.946
01/03/1973,173.62
01/04/1973,170.967
01/05/1973,168.716
01/06/1973,172.765
01/07/1973,174.193
01/08/1973,174.887
01/09/1973,176.141
01/10/1973,176.096
01/11/1973,176.807
01/12/1973,176.652
01/01/1974,176.471
01/02/1974,177.522
01/03/1974,175.863
01/04/1974,175.222
01/05/1974,172.237
01/06/1974,170.519
01/07/1974,167.958
01/08/1974,170.322
01/09/1974,169.153
01/10/1974,169.802
01/11/1974,170.532
01/12/1974,172.649
01/01/1975,172.695
01/02/1975,174.078
01/03/1975,175.214
01/04/1975,175.949
01/05/1975,176.126
01/06/1975,176.948
01/07/1975,176.738
01/08/1975,175.543
01/09/1975,175.937
01/10/1975,175.359
01/11/1975,174.213
01/12/1975,174.611
01/01/1976,174.315
01/02/1976,174.471
01/03/1976,175.377
01/04/1976,174.131
01/05/1976,175.697
01/06/1976,175.853
01/07/1976,176.946
01/08/1976,177.221
01/09/1976,177.2
01/10/1976,177.078
