Year,Month,MOSC
1957,5,0
1957,6,0
1957,7,0
1957,8,0
1957,9,0
1957,10,0
1957,11,0
1957,12,0
1958,1,203.772
1958,2,204.207
1958,3,199.192
1958,4,199.081
1958,5,203.194
1958,6,207.949
1958,7,201.552
1958,8,206.954
1958,9,207.789
1958,10,0
1958,11,207.184
1958,12,0
1959,1,207.111
1959,2,202.518
1959,3,208.821
1959,4,212.062
1959,5,206.35
1959,6,208.101
1959,7,201.035
1959,8,199.668
1959,9,200.173
1959,10,208.725
1959,11,0
1959,12,208.078
1960,1,201.745
1960,2,203.913
1960,3,209.438
1960,4,209.101
1960,5,0
1960,6,0
1960,7,0
1960,8,209.019
1960,9,207.538
1960,10,207.08
1960,11,207.495
1960,12,214.266
1961,1,215.049
1961,2,215.818
1961,3,0
1961,4,0
1961,5,0
1961,6,0
1961,7,0
1961,8,216.74
1961,9,220.322
1961,10,221.074
1961,11,223.676
1961,12,223.465
1962,1,225.351
1962,2,223.739
1962,3,224.56
1962,4,223.1
1962,5,226.231
1962,6,224.224
1962,7,224.544
1962,8,224.42
1962,9,222.71
1962,10,221.974
1962,11,224.063
1962,12,226.408
1963,1,229.83
1963,2,232.507
1963,3,230.883
1963,4,230.784
1963,5,228.66
1963,6,229.31
1963,7,228.486
1963,8,227.535
1963,9,225.313
1963,10,227.561
1963,11,229.652
1963,12,231.284
1964,1,232.806
1964,2,233.898
1964,3,234.791
1964,4,235.433
1964,5,235.053
1964,6,234.705
1964,7,234.218
1964,8,235.531
1964,9,235.81
1964,10,236.614
1964,11,236.415
1964,12,238.833
1965,1,239.853
1965,2,240.002
1965,3,240.851
1965,4,241.368
1965,5,242.376
1965,6,238.696
1965,7,238.053
1965,8,237.428
1965,9,237.809
1965,10,237.927
1965,11,240.002
1965,12,240.55
1966,1,237.753
1966,2,237.352
1966,3,235.779
1966,4,234.057
1966,5,235.625
1966,6,233.283
1966,7,231.32
1966,8,230.878
1966,9,222.766
1966,10,227.603
1966,11,229.146
1966,12,227.276
1967,1,224.841
1967,2,224.14
1967,3,226.153
1967,4,226.154
1967,5,223.66
1967,6,223.298
1967,7,223.4
1967,8,220.655
1967,9,222.592
1967,10,222.863
1967,11,221.316
1967,12,221.026
1968,1,222.108
1968,2,220.459
1968,3,220.071
1968,4,221.807
1968,5,219.92
1968,6,216.392
1968,7,216.798
1968,8,217.945
1968,9,216.546
1968,10,212.383
1968,11,208.009
1968,12,209.652
1969,1,215.522
1969,2,216.471
1969,3,214.972
1969,4,214.428
1969,5,208.182
1969,6,206.354
1969,7,209.276
1969,8,212.966
1969,9,215.123
1969,10,215.083
1969,11,215.305
1969,12,215.789
1970,1,216.948
1970,2,218.776
1970,3,216.595
1970,4,213.84
1970,5,215.085
1970,6,210.276
1970,7,210.072
1970,8,213.333
1970,9,216.485
1970,10,217.497
1970,11,215.269
1970,12,220.684
1971,1,220.074
1971,2,222.575
1971,3,223.776
1971,4,224.337
1971,5,225.762
1971,6,229.562
1971,7,229.79
1971,8,230.194
1971,9,230.184
1971,10,232.137
1971,11,232.509
1971,12,231.889
1972,1,231.382
1972,2,231.378
1972,3,234.064
1972,4,235.388
1972,5,234.091
1972,6,229.608
1972,7,232.573
1972,8,222.839
1972,9,231.622
1972,10,232.762
1972,11,232.321
1972,12,233.144
1973,1,231.31
1973,2,231.17
1973,3,229.357
1973,4,227.487
1973,5,224.218
1973,6,228.996
1973,7,230.666
1973,8,231.384
1973,9,234.179
1973,10,232.626
1973,11,233.203
1973,12,233.952
1974,1,233.167
1974,2,234.317
1974,3,231.873
1974,4,232.978
1974,5,228.585
1974,6,226.361
1974,7,222.776
1974,8,226.163
1974,9,224.401
1974,10,225.529
1974,11,227.111
1974,12,230.354
1975,1,228.334
1975,2,230.313
1975,3,231.287
1975,4,232.247
1975,5,232.621
1975,6,232.868
1975,7,232.127
1975,8,230.662
1975,9,231.783
1975,10,231.561
1975,11,228.98
1975,12,230.467
1976,1,230.288
1976,2,231.413
1976,3,230.93
1976,4,229.557
1976,5,230.714
1976,6,232.512
1976,7,233.744
1976,8,233.621
1976,9,235.256
1976,10,233.903
1976,11,234.337
1976,12,235.185
1977,1,237.282
1977,2,237.042
1977,3,236.751
1977,4,236.921
1977,5,236.921
1977,6,235.69
1977,7,232.973
1977,8,233.439
1977,9,233.478
1977,10,235.194
1977,11,237.859
1977,12,236.645
1978,1,231.381
1978,2,230.635
1978,3,229.719
1978,4,226.223
1978,5,221.66
1978,6,225.279
1978,7,225.112
1978,8,229.647
1978,9,230.471
1978,10,227.395
1978,11,229.083
1978,12,229.522
1979,1,224.862
1979,2,223.396
1979,3,221.03
1979,4,216.697
1979,5,216.905
1979,6,212.48
1979,7,212.303
1979,8,207.459
1979,9,209.286
1979,10,214.039
1979,11,213.991
1979,12,219.045
1980,1,216.61
1980,2,215.26
1980,3,217.615
1980,4,214.773
1980,5,214.646
1980,6,209.276
1980,7,208.461
1980,8,209.95
1980,9,209.972
1980,10,207.018
1980,11,204.051
1980,12,203.82
1981,1,204.283
1981,2,201.374
1981,3,200.976
1981,4,200.076
1981,5,197.649
1981,6,202.757
1981,7,203.303
1981,8,203.429
1981,9,206.238
1981,10,199.185
1981,11,201.278
1981,12,205.917
1982,1,210.832
1982,2,203.776
1982,3,209.722
1982,4,211.85
1982,5,212.889
1982,6,202.816
1982,7,195.681
1982,8,195.998
1982,9,191.797
1982,10,194.085
1982,11,197.509
1982,12,194.525
1983,1,200.808
1983,2,203.444
1983,3,208.464
1983,4,208.486
1983,5,203.258
1983,6,206.958
1983,7,210.805
1983,8,212.125
1983,9,214.127
1983,10,213.262
1983,11,214.12
1983,12,214.413
1984,1,216.281
1984,2,215.043
1984,3,212.249
1984,4,210.558
1984,5,205.139
1984,6,210.34
1984,7,211.721
1984,8,214.559
1984,9,215.624
1984,10,215.678
1984,11,215.841
1984,12,215.806
1985,1,216.649
1985,2,221.361
1985,3,221.965
1985,4,223.245
